id,Title,Description,Price_Raw,Price_Billion,Price_Per_m2,Price_per_m2_VND,log_price_vnd,Area_m2,Width_m,Bedrooms,Toilets,District,District_Name,Ward,Address,Floor,Is_MatTien,Post_Time,Link,Page,Price_VND,Floors
4557,Bán nhà 2MT ID4557 Huỳnh Tấn Phát Quận 7. DT 20x35m,Bán nhà 2MT ID4557 Huỳnh Tấn Phát Quận 7. DT 20x35m,90 tỷ,90.0,128.57,128571428.57142857,25.22307550728779,700.0,20.0,1,1,quan-7,Quận 7,,"Quận 7, TPHCM",,0,13/08/2025,https://mogi.vn/quan-7/mua-nha-mat-tien-pho/ban-nha-2mt-id4557-huynh-tan-phat-quan-7-dt-20x35m-id22697624,13,90000000000.0,1.0
19125,"Tòa nhà (ID19125) Calmette, P.Sài Gòn. DT 8.4x19m, 6 tầng","Tòa nhà (ID19125) Calmette, P.Sài Gòn. DT 8.4x19m, 6 tầng",135 tỷ,135.0,843.75,843750000.0,25.628540615392247,160.0,8.4,1,1,quan-1,Quận 1,,"Quận 1, TPHCM",6,0,13/08/2025,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/toa-nha-id19125-calmette-p-sai-gon-dt-8-4x19m-6-tang-id22702928,45,135000000000.0,6.0
2235764,"Bán nhà 3MT Quận 1, Phố đi bộ Bùi Viện, vị trí vàng 6.65X15m, giá 65tỷ","Bán nhà 3MT Quận 1, Phố đi bộ Bùi Viện, vị trí vàng 6.65X15m, giá 65tỷ",65 tỷ,65.0,650.0,650000000.0,24.89765310685744,100.0,1.0,6,6,quan-1,Quận 1,,"Quận 1, TPHCM",,0,26/12/2023,https://mogi.vn/quan-1/mua-nha-hem-ngo/ban-nha-3mt-quan-1-pho-di-bo-bui-vien-vi-tri-vang-6-65x15m-gia-65ty-id2235764,42,65000000000.0,1.0
2277256,"Bán Khách sạn đường Nguyễn Thị Minh Khai, Quận 1,dt 7,6x16m, 5 lầu,20P","Bán Khách sạn đường Nguyễn Thị Minh Khai, Quận 1,dt 7,6x16m, 5 lầu,20P",29 tỷ 700 triệu,29.7,243.44,243442622.95081967,24.11441288278873,122.0,7.6,20,20,quan-1,Quận 1,,"Quận 1, TPHCM",5,0,26/12/2023,https://mogi.vn/quan-1/mua-nha-hem-ngo/ban-khach-san-duong-nguyen-thi-minh-khai-quan-1-dt-7-6x16m-5-lau-20p-id2277256,42,29700000000.0,6.0
2279452,Càn bán gấp Nhà Trần Hưng Đạo Q1. DT 12x25m công nhận 252.2m2 giá 38tỷ,Càn bán gấp Nhà Trần Hưng Đạo Q1. DT 12x25m công nhận 252.2m2 giá 38tỷ,38 tỷ,38.0,126.67,126666666.66666669,24.36085199669911,300.0,12.0,2,2,quan-1,Quận 1,,"Quận 1, TPHCM",,0,26/12/2023,https://mogi.vn/quan-1/mua-nha-hem-ngo/can-ban-gap-nha-tran-hung-dao-q1-dt-12x25m-cong-nhan-252-2m2-gia-38ty-id2279452,42,38000000000.0,1.0
2452939,"Bán khách sạn 3 sao 2 MT đường Nguyễn Trãi, P. Bến Thành, DT8.5x20m vu","Bán khách sạn 3 sao 2 MT đường Nguyễn Trãi, P. Bến Thành, DT8.5x20m vu",185 tỷ,185.0,1088.24,1088235294.1176472,25.943621662030143,170.0,8.5,20,20,quan-1,Quận 1,Bến Thành,"Quận 1, TPHCM",,1,26/12/2023,https://mogi.vn/quan-1/mua-nha-hem-ngo/ban-khach-san-3-sao-2-mt-duong-nguyen-trai-p-ben-thanh-dt8-5x20m-vu-id2452939,43,185000000000.0,1.0
2473160,"Bán nhà hẻm 7m Trần Hưng Đạo, Quận 1. DT:12x21m,XD:H+7 tầng,21P.Giá 40","Bán nhà hẻm 7m Trần Hưng Đạo, Quận 1. DT:12x21m,XD:H+7 tầng,21P.Giá 40",40 tỷ,40.0,158.73,158730158.73015872,24.41214529108535,252.0,12.0,21,21,quan-1,Quận 1,,"Quận 1, TPHCM",H+7,0,26/12/2023,https://mogi.vn/quan-1/mua-nha-hem-ngo/ban-nha-hem-7m-tran-hung-dao-quan-1-dt-12x21m-xd-h-7-tang-21p-gia-40-id2473160,43,40000000000.0,7.0
2478606,Nhà bán MT Quận 1. DT 5.7m x 30m (nở hậu 8m) Nguyễn Trãi,Nhà bán MT Quận 1. DT 5.7m x 30m (nở hậu 8m) Nguyễn Trãi,56 tỷ,56.0,320.0,320000000.0,24.748617527699416,175.0,1.0,2,2,quan-1,Quận 1,,"Quận 1, TPHCM",,0,26/12/2023,https://mogi.vn/quan-1/mua-nha-hem-ngo/nha-ban-mt-quan-1-dt-5-7m-x-30m-no-hau-8m-nguyen-trai-id2478606,43,56000000000.0,1.0
5267978,"Nhà DT: 8,2 x 19m, mặt tiền P.Nguyễn Thái Bình, Q1. 4 lầu, giá 82 tỷ.","Nhà DT: 8,2 x 19m, mặt tiền P.Nguyễn Thái Bình, Q1. 4 lầu, giá 82 tỷ.",82 tỷ,82.0,529.03,529032258.0645161,25.12998508422286,155.0,8.2,8,8,quan-1,Quận 1,Nguyễn Thái Bình,"Quận 1, TPHCM",4,1,26/12/2023,https://mogi.vn/quan-1/mua-nha-hem-ngo/nha-dt-8-2-x-19m-mat-tien-p-nguyen-thai-binh-q1-4-lau-gia-82-ty-id5267978,43,82000000000.0,5.0
20115925,"Bán nhà hxh 8m Nguyễn Trãi, Bến Thành, Quận 1,4,1x20m, giá 25.5 tỷ","Bán nhà hxh 8m Nguyễn Trãi, Bến Thành, Quận 1,4,1x20m, giá 25.5 tỷ",25 tỷ 500 triệu,25.5,307.23,307228915.6626506,23.961944289150008,83.0,4.1,2,2,quan-1,Quận 1,,"Quận 1, TPHCM",,0,26/12/2023,https://mogi.vn/quan-1/mua-nha-hem-ngo/ban-nha-hxh-8m-nguyen-trai-ben-thanh-quan-1-4-1x20m-gia-25-5-ty-id20115925,43,25500000000.0,1.0
