id,Title,Type,Price_Raw,Price_Billion,Area_m2,District,City,Address,Bedrooms,Toilets,Post_Time,Link,Description,Price_Per_m2_Million,Width_m,Is_MatTien,Price_Per_m2,Floors,Ward
34c726fa-59ca-4aaf-91db-683839fea1f8,"Bán nhà mặt tiền 3 tầng 6.6x28m giá 16,99 tỷ Đường Trương Thị Hoa",Nhà mặt đường,Giá:                                                                                                                                             16.99                                                                                                                                                                                                                 Tỷ,16.99,80.0,Quận 12,Thành phố Hồ Chí Minh,"Đường Trương Thị Hoa, Trung Mỹ Tây",5,5,18/11/2025,https://nhadat24h.net.vn/du-an/ban-nha-mat-tien-3-tang-66x28m-gia-1699-ty-duong-truong-thi-hoa/41675,"🔥 Chủ giảm 2,5 tỷ – Bán gấp biệt thự mini MT Trương Thị Hoa (TTH07), P. Tân Thới Hiệp, Q12


DT: 6,6 × 28m – 1 trệt, 2 lầu, mái Thái

Công năng: Sân đậu 2 ô tô, PK – bếp rộng, 5PN, 5WC, sân thượng trước sau

Nhà mới đẹp, tặng nội thất – vào ở ngay
📍 Vị trí: Cách Metro 300m, 500m sang Gò Vấp, gần UBND – chợ – tiện ích; phù hợp kinh doanh đa ngành
📑 Sổ hồng – hoàn công đủ – hỗ trợ bank
💥 Giá bán gấp: 16 tỷ 990 triệu (giảm từ 19,5 tỷ)
📞 LH: 0919 781 159 (Mr. Quyến)",212.38,5.0,0,212.38,3.5,Tân Thới Hiệp
ca3d7226-45b1-4fb6-a698-536bc479f744,"Nhà Mặt tiền đường Phong Phú - P11, Giá : 5,6 Tỉ (TL)",Nhà mặt đường,Giá:                                                                                                                                             5.6                                                                                                                                                                                                                 Tỷ,5.6,44.0,Quận 8,Thành phố Hồ Chí Minh,"Đường Phong Phú, 11",2,3,16/12/2025,https://nhadat24h.net.vn/du-an/nha-mat-tien-duong-phong-phu-p11-gia-56-ti-tl/45461,"Nhà Mặt tiền đường Phong Phú - P11
+ Diện tích: 2.9m x 15.3m – 44.4m2
+ Kết cấu: 1 Trệt - 1 lầu - 2pn - 3wc.
+ Vị trí: Nhà gần cầu Chà Và, chợ Xóm Củi - tiện mua bán kinh doanh.
+ Hướng : Tây Nam
+ Giá : 5,6 Tỉ (TL)
*** Hỗ Trợ Vay Ngân Hàng *** 
Liên hệ: Mr Vũ - 0988 467 678
☎️ 0️⃣ x 9️⃣ x 8️⃣ 8.. 4️⃣ 6 7 6️⃣ 7 8️⃣  
Công ty Bất Động Sản Tâm Điền
Địa chỉ: 43 Dương Quang Đông, P. Chánh Hưng, TP. Hồ Chí Minh
Nhận Ký Gửi Nhà Đất Các Quận TP.HCM",127.27,2.9,1,127.27,2.0,11
d9206372-26a0-4aab-bd05-41807c8162e0,TRUNG TÂM QUẬN 9 – SIÊU PHẨM MẶT TIỀN LÃ XUÂN OAI – 198M² – 2 TẦNG BTCT – GIÁ 24 TỶ,Nhà mặt đường,Giá:                                                                                                                                             24                                                                                                                                                                                                                 Tỷ,24.0,198.0,Quận 9,Thành phố Hồ Chí Minh,"Đường Lã Xuân Oai, Tăng Nhơn Phú A",4,4,04/12/2025,https://nhadat24h.net.vn/du-an/trung-tam-quan-9-sieu-pham-mat-tien-la-xuan-oai-198m2-2-tang-btct-gia-24-ty/44428,"Diện tích chuẩn đẹp: 196m² – ngang 7.48m, dài 25.93m.

 Kết cấu BTCT 2 tầng: 1 trệt 1 lầu, sân để nhiều ô tô, 4PN – 4WC khép kín, 1WC trệt, phòng khách, bếp, phòng thờ, ban công thoáng.
 Vị trí vàng: Mặt tiền đường số 102, P. Tăng Nhơn Phú A – ngay Lã XUÂN OAI, sát UBND phường.
 Tiện ích bủa vây: Chợ đêm Man Thiện, chợ Lã Xuân Oai, Vincom Lê Văn Việt, siêu thị, bệnh viện, trường học, ĐH – không thiếu gì.

 Liên hệ xem nhà ngay – Toàn Tâm",121.21,7.48,1,121.21,2.0,Tăng Nhơn Phú A
701f4eb9-7df4-45aa-898d-2f3b100695a4,"SANG GẤP NHÀ MT ĐƯỜNG SỐ - NGANG 4M - 3 TẦNG - P. TÂN QUY, Q7 - NHỈNH 12 TỶ ( TL )",Nhà mặt đường,Giá:                                                                                                                                             12                                                                                                                                                                                                                 Tỷ,12.0,80.0,Quận 7,Thành phố Hồ Chí Minh,"Đường 43, Tân Quy",2,3,18/11/2025,https://nhadat24h.net.vn/du-an/sang-gap-nha-mt-duong-so-ngang-4m-3-tang-p-tan-quy-q7-nhinh-12-ty-tl/41653,"SANG GẤP NHÀ MT ĐƯỜNG SỐ - NGANG 4M - 3 TẦNG - P. TÂN QUY, Q7 - NHỈNH 12 TỶ ( TL )
👉  Mặt tiền đường hiếm với vị trí đắc địa Tân Quy hoàn công đủ 3 tầng, 2 PN, 3 WC 👉  Thiết kế cầu thang phía sau nhà , phía trước để suốt tiện mở văn phòng công ty, gia chủ có thể về để cải tạo phòng ngủ theo nhu cầu 👉  Diện tích 80m2 , ngang nhà 4m, pháp lý chuẩn.
* 61 * Cam kết nhà như hình, miễn tiếp môi giới / trung gian.
Zalo : 0708 63 25 12Ngân - Nhà Xinh",150.0,4.0,1,150.0,3.0,Tân Quy
4b0a98c1-3b68-48c8-8799-582fb7774482,"🏠 BÁN NHÀ MẶT TIỀN HUỲNH TẤN PHÁT, CHỈ 200M ĐẾN QUẬN 4 – VỊ TRÍ ĐẮC ĐỊA, GIÁ CHỈ 13 TỶ 🏠",Nhà mặt đường,Giá:                                                                                                                                             11.1                                                                                                                                                                                                                 Tỷ,11.1,62.0,Quận 7,Thành phố Hồ Chí Minh,"Đường Huỳnh Tấn Phát, Tân Thuận Tây",2,0,21/11/2025,https://nhadat24h.net.vn/du-an/ban-nha-mat-tien-huynh-tan-phat-chi-200m-den-quan-4-vi-tri-dac-dia-gia-chi-13-ty/42079,"🏠 BÁN NHÀ MẶT TIỀN HUỲNH TẤN PHÁT, CHỈ 200M ĐẾN QUẬN 4 – VỊ TRÍ ĐẮC ĐỊA, GIÁ CHỈ 11.1 TỶ 🏠
　
🌟 Vị trí tuyệt vời ngay khu vực Khu Chế Xuất Tân Thuận, cách Quận 4 chỉ 200m – Mặt tiền đường Huỳnh Tấn Phát, giao thông thuận tiện, khu vực phát triển mạnh mẽ.
　
✅ Thông tin chi tiết:
　
Diện tích: 5.34m x 11.5m, kết cấu: 1 trệt, 1 lửng, 2 phòng ngủ
　
Đường trýớc nhà: 20m, thoáng mát, giao thông thuận tiện
　
Pháp lý: Sổ hồng riêng, hoàn công đầy đủ
　
🚗 Tiện ích và giao thông:
　
Vị trí đắc địa: Nằm ngay mặt tiền đường lớn Huỳnh Tấn Phát, dễ dàng di chuyển đến Quận 4, Quận 1, Quận 7 qua các tuyến đường chính nhý Nguyễn Tất Thành, Nguyễn Thị Thập, Nguyễn Văn Linh.
　
Gần các khu công nghiệp, cảng Bến Nghé và Khu Chế Xuất Tân Thuận – thuận lợi cho các hoạt động kinh doanh, làm việc, và sinh sống.
　
Tiện ích xung quanh: Khu vực dân cý ðông ðúc, ðầy đủ tiện ích nhý siêu thị, bệnh viện, trýờng học, chợ Tân Thuận, và các khu mua sắm, giải trí.
　
💥 Giá bán: 13 tỷ – Thýõng lýợng chính chủ
　
📈 Đầu tý tiềm năng: Khu vực phát triển mạnh, giao thông thuận lợi, gần trung tâm thành phố, thích hợp cho các dự án xây dựng nhà ở, văn phòng hoặc đầu tý kinh doanh.
　
📞 Liên hệ ngay để xem nhà và nhận thêm thông tin chi tiết!
　
☎️ Hotline: [0815.677.678]
📩 Inbox để được tý vấn và hỗ trợ ngay lập tức!",179.03,5.34,1,179.03,1.0,Tân Thuận Tây
29a91862-1e30-4603-8459-80cf02c0c4da,Bán Nhà mặt tiền đường 3158C KDC Phú Lợi Phường 7 Quận 8,Nhà mặt đường,Giá:                                                                                                                                             5.99                                                                                                                                                                                                                 Tỷ,5.99,68.0,Quận 8,Thành phố Hồ Chí Minh,"Đường KDC Phú Lợi, 7",3,2,14/10/2025,https://nhadat24h.net.vn/du-an/ban-nha-mat-tien-duong-3158c-kdc-phu-loi-phuong-7-quan-8/38969,"Bán Nhà mặt tiền đường 3158C KDC Phú Lợi Phường 7 Quận 8
+ Diện tích : 4.5 x 15m 
+ Hiện trạng : Trệt, 1 lầu, sân thượng, 3 PN, 2 WC. Nhà mới đẹp vào ở liền.
+ Vị trí : Đường rộng 10m thông thoáng. Gần trường học, chung cư, siêu thị. 
+ Sổ hồng hoàn công đầy đủ. 
+ Giá : 5.99 Tỷ (Thương lượng) 
*** Hỗ Trợ Vay Ngân Hàng *** 
Liên hệ: Mr Út – 0941 590 733
FB: Bđs Tâm Điền
☎️0️⃣ x 9️⃣ x 4️⃣ 1.. 5️⃣ . x 9  x 0️⃣ .. 7️⃣ x 3 x 3️⃣
Công ty Bất Động Sản Tâm Điền
Địa chỉ: 43 Dương Quang Đông, P. Chánh Hưng, TP. Hồ Chí Minh
Nhận Ký Gửi Nhà Đất Các Quận TP.HCM",88.09,10.0,1,88.09,2.5,7
5386e238-2b06-484d-bcf2-5784aa721a61,"Mặt tiền đẹp vị trí đẹp đường số 6,Thạnh Mỹ Lợi(Cát Lái mới)150m chỉ nhỉnh 12ty",Nhà mặt đường,Giá:                                                                                                                                             12                                                                                                                                                                                                                 Tỷ,12.0,150.0,Quận 2,Thành phố Hồ Chí Minh,"Đường 6, Thạnh Mỹ Lợi",2,2,16/12/2025,https://nhadat24h.net.vn/du-an/mat-tien-dep-vi-tri-dep-duong-so-6thanh-my-loicat-lai-moi150m-chi-nhinh-12ty/45361,"Mặt tiền đẹp vị trí đẹp đường số 6,Thạnh Mỹ Lợi(Cát Lái mới)150m chỉ nhỉnh 12ty
Diện tích 4.5 x 32.5m
Tặng nhà cấp 4 còn mới 2 phòng ngủ 2wc,khu dân trí cao, an ninh yên tĩnh
Đường thông Nguyễn Thị Định,Đồng Văn Cống
Đường trước nhà 7m oto vivu
LH 0906 22 78 39",80.0,4.5,1,80.0,1.0,Thạnh Mỹ Lợi
b9bac76f-93b1-4b75-883f-d94076e779a9,"Bán nhà 4 tầng 5x24m giá 13,5 tỷ Đường Trần Thị Cờ",Nhà mặt đường,Giá:                                                                                                                                             13.5                                                                                                                                                                                                                 Tỷ,13.5,120.0,Quận 12,Thành phố Hồ Chí Minh,"Đường Trần Thị Cờ, Thới An",4,5,14/11/2025,https://nhadat24h.net.vn/du-an/ban-nha-4-tang-5x24m-gia-135-ty-duong-tran-thi-co/41099,"🏡 BÁN NHÀ MẶT TIỀN TRẦN THỊ CỜ – Q.12📐 DT: 5 x 24m – 117m² thổ cư🏠 Kết cấu: 1 trệt 3 lầu, 4PN, 5WC, gara ô tô, phòng thờ, sân thượng trước sau🛣️ Đường 20m, vỉa hè rộng, thuận tiện kinh doanh – mở văn phòng📍 Gần ngã tư, chợ, trường học, siêu thị – tiện ích đầy đủ📜 Sổ hồng riêng – hoàn công đầy đủ💰 Giá: 13.5 tỷ (TL)📞 LH: 0919 781 159 (Mr. Quyến)",112.5,5.0,1,112.5,4.5,Thới An
9f1b8d4b-8fad-4650-b0a9-b69496f8018e,"Bán Nhà Phố 6Tầng Đường Số 43, 16,8 tỷ, 80m2, có thang máy, Tân Quy, Quận 7, HCM.",Nhà mặt đường,Giá:                                                                                                                                             16.8                                                                                                                                                                                                                 Tỷ,16.8,80.0,Quận 7,Thành phố Hồ Chí Minh,"Đường 43, Tân Quy",6,7,14/11/2025,https://nhadat24h.net.vn/du-an/ban-nha-pho-6tang-duong-so-43-168-ty-80m2-co-thang-may-tan-quy-quan-7-hcm/41003,"Bán Nhà Phố 6Tầng Đường Số 43, 16,8 tỷ, 80m2, có thang máy, Tân Quy, Quận 7, HCM.• Giá bán: 16,8 tý VND.• Nhà thiết kế hiện đại với 6PN, 7WC. Có thang máy.• Nội thất đầy đủ: điều hòa, tủ lạnh, giường...• Mặt tiền thuận tiện cho thuê Vp, mua ở.• Đường vào rộng 15m, phù hợp cho ô tô ra vào thoải mái.• Pháp lý đầy đủ.Thông tin liên hệ 0968668531 Thuỳ Linh",210.0,15.0,1,210.0,6.0,Tân Quy
561e2136-7752-4557-a03e-2c9cb0446605,"Bán nhà 1 lửng 5 lầu 4x20m giá 12,45 tỷ Đường Huỳnh Thị Hai, Quận 12",Nhà mặt đường,Giá:                                                                                                                                             12.45                                                                                                                                                                                                                 Tỷ,12.45,80.0,Quận 12,Thành phố Hồ Chí Minh,"Đường Huỳnh Thị Hai, Trung Mỹ Tây",8,9,21/11/2025,https://nhadat24h.net.vn/du-an/ban-nha-1-lung-5-lau-4x20m-gia-1245-ty-duong-huynh-thi-hai-quan-12/42035,"🌟 SIÊU PHẨM NHÀ PHỐ – MẶT TIỀN HUỲNH THỊ HAI, QUẬN 12📍 Ngay chợ Hạt Điều, khu vực kinh doanh sầm uất – mua bán gì cũng thuận lợi.


Diện tích: 4m × 20m

Kết cấu: 1 trệt – 1 lửng – 5 lầu

Công năng: 8 phòng ngủ, 9WC, phòng thờ, sân thượng trước & sau

Trang bị: Thang máy cao cấp 550kg

Full nội thất cao cấp, vào ở hoặc khai thác ngay

Vị trí vàng:✔ Cách ngã ba Dương Thị Mười chỉ 100m✔ Trung tâm Q12, gần Gò Vấp✔ Khu vực buôn bán tấp nập nhất phường

Sổ hồng riêng – hỗ trợ vay ngân hàng
💰 Giá bán: 12 tỷ 450 triệu (còn thương lượng)
📞 Liên hệ: 0919 781 159 (Mr. Quyến)Xem nhà thực tế – làm việc trực tiếp chủ!",155.62,4.0,1,155.62,7.0,Trung Mỹ Tây
