id,Page,Title,Price_Raw,Price_Billion,Price_per_m2,Area_m2,District,Address,Bedrooms,Toilets,Post_Time,Link,Description,Mức độ giao dịch,Mặt tiền,Chiều sâu,Ưu điểm BĐS,Nội thất,Số ban công,Hướng ban công,Tiện ích,Width_m,Is_MatTien,Price_Per_m2,Floors
305927397,1,"Cần tiền bán gấp nhà riêng giá siêu hời tại Vĩnh Khánh, Phường 8, Quận 4, 3,99 tỷ, 45m2","3,99 tỷ",3.99,"88,67 triệu/m²",45.0,Quận 4,"Đ. Vĩnh Khánh, P. 8, Q. 4, Tp. Hồ Chí Minh",,,04/01/2026,https://meeyland.com/ban-nha-rieng-quan-4-ho-chi-minh-i1223/305927397,"- Diện tích: 45m², giá 3,99 tỷ VND. - Mặt tiền rộng 4,5m, dễ dàng cho việc kinh doanh hoặc cho thuê. - Ngõ vào rộng 5m, thuận tiện cho xe hơi di chuyển. - Pháp lý đầy đủ, đảm bảo an tâm cho người mua. Điểm nhấn: - Mặt tiền rộng rãi, lý tưởng cho việc kinh doanh. - Ngõ vào rộng rãi, xe hơi vào thoải mái. - Pháp lý đầy đủ, tạo sự yên tâm cho giao dịch. Tiện ích xung quanh: + Gần bệnh viện Tai Mũi Họng Sài Gòn, Bệnh viện Răng Hàm Mặt TP.HCM. + Kề bên các công viên như Công viên Khánh Hội, Công viên Cát, Công viên Chi Lăng. + Các siêu thị như Bách Hóa Xanh, Winmart+. + Trường học như Trường Mầm Non Cô Giang, Trung Tâm Ngoại Ngữ Cali. Thu gọn Liên hệ: SĐT 1 090 443 **** Hiện số Thông tin chi tiết Mức độ giao dịch Gấp",Gấp,,,,,,,,4.5,1,88.67,1.0
306304969,1,"Siêu phẩm nhà 35m² ngay trục đường Ngô Gia Tự, Quận 4, giá 1,8 tỷ","1,8 tỷ",1.8,50 triệu/m²,36.0,Quận 4,"P. 4, Q. 4, Tp. Hồ Chí Minh",,,31/12/2025,https://meeyland.com/ban-nha-rieng-quan-4-ho-chi-minh-i1223/306304969,"Siêu phẩm nhà 35m² ngay trục đường Ngô Gia Tự, Quận 4, TP. Hồ Chí Minh đã sẵn sàng về với chủ mới! Chỉ với 1.8 tỷ đồng, bạn đã sở hữu ngay một căn nhà có sổ hồng riêng, đảm bảo pháp lý minh bạch. Diện tích chuẩn 4m x 9m, thiết kế thông minh, tối ưu không gian sống. Đặc biệt, căn nhà này còn có khả năng sinh lời cực tốt khi cho thuê được 8 triệu/tháng, quá ngon cho bài toán đầu tư! Vị trí đắc địa, dễ dàng di chuyển đến các tuyến đường huyết mạch như Lý Thái Tổ, Lê Hồng Phong, Điện Biên Phủ, Nguyễn Chí Thanh. Xung quanh là các quận trung tâm sầm uất: Q1, Q3, Q10, Q.11, Tân Bình, Phú Nhuận, Bình Thạnh. Mua để ở thì tiện lợi, mua để cho thuê thì sinh lời đều đặn. Liên hệ ngay Minh Tài theo số 0969800739 để không bỏ lỡ cơ hội sở hữu căn nhà vừa rẻ, vừa đẹp, lại chuẩn chỉnh pháp lý này nhé! Thu gọn Liên hệ: SĐT 1 096 980 **** Hiện số Thông tin chi tiết Mặt tiền 4m Chiều sâu 9m Ưu điểm BĐS Kinh doanh được, Cho thuê giá cao",,4m,9m,"Kinh doanh được, Cho thuê giá cao",,,,,4.0,1,50.0,1.0
306316580,1,Chủ đi Mỹ định cư cần bán nhà đường Đoàn Văn Bơ,"3,15 tỷ",3.15,70 triệu/m²,45.0,Quận 4,"Đ. Đoàn Văn Bơ, P. 15, Q. 4, Tp. Hồ Chí Minh",3.0,3.0,30/12/2025,https://meeyland.com/ban-nha-rieng-quan-4-ho-chi-minh-i1223/306316580,"Chủ đi Mỹ định cư cần bán nhà đường Đoàn Văn Bơ. - Vị trí: hẻm 1/ Đoàn Văn Bơ giáp đường Tôn Đản gần Cầu Calmette - Kết cấu: 1 trệt, 2 lầu, sân thượng, 3 phòng ngủ, 3 nhà vệ sinh - DT: 45,2m2 (4m x 11,25m) - Hẻm xe hơi 4m - Sổ hồng riêng sang tên công chứng trong ngày - Hổ trợ vay ngân hàng lên đến 70% giá trị căn nhà Thu gọn Liên hệ: SĐT 1 079 957 **** Hiện số Thông tin chi tiết Mặt tiền 4m Chiều sâu 11,25m Mức độ giao dịch Càng sớm càng tốt Ưu điểm BĐS Vị trí trung tâm",Càng sớm càng tốt,4m,"11,25m",Vị trí trung tâm,,,,,4.0,1,70.0,3.5
105658348,1,"Bán nhà hẻm xe hơi Tôn Thất Thuyết, Phường 16, Quận 4, 277m2, 2 tầng, giá rẻ",22 tỷ,22.0,"79,42 triệu/m²",277.0,Quận 4,"Đ. Tôn Thất Thuyết, P. 16, Q. 4, Tp. Hồ Chí Minh",6.0,6.0,30/12/2025,https://meeyland.com/ban-nha-rieng-quan-4-ho-chi-minh-i1223/105658348,"Bán nhà hẻm xe hơi Tôn Thất Thuyết, Phường 16, Quận 4, 277m2, 2 tầng, giá rẻ. + Diện tích: 277m2 công nhận trêm sổ. + Nhà ngang bề thế hơn 9m. Nở hậu gần 11m đón tài lộc. Nhà chính chủ trang bìa, chưa qua đầu tư, bán chia tài sản. + Kết cấu: Gồm sân để xe hơi, xe máy, 2 khách, 6PN, 4WC, bếp, phía sau có 1 gác lửng, sân trống để phơi đồ, trồng cây cảnh. + Hẻm trước nhà 5m, thông hẻm 76 Tôn Thất Thuyết, và hèm 784 Đoàn Văn Bơ. Xe 16 chỗ ra vào thoải mái. + Tiện xây CHDV cho thuê, 6-7 tầng như các nhà xung quanh, làm Spa, Phòng mạch.. + Vị trí: Cách mặt tiền Tôn Thất Thuyết 100m, 800m ra tới Cầu Tân Thuận, Trương Đình Hội, Nguyễn Tất Thanh, 500m tới Xóm Chiếu, Tôn Đản Kế bên Q7, Q1. Thuận tiện giao thông. + Giá: 22 tỷ, thương lương. Quý khách có nhu cầu, vui lòng gọi Tùng thổ cư, để xem nhà và được tư vấn miễn phí 24/7. Phone, Zalo: 0939927498. Chuyên nghiêp - Uy tín – Tận tình. Thu gọn Liên hệ: SĐT 1 093 992 **** Hiện số Thông tin chi tiết Mặt tiền 9,4m Chiều sâu 29,47m Mức độ giao dịch Càng sớm càng tốt Ưu điểm BĐS Dân trí cao",Càng sớm càng tốt,"9,4m","29,47m",Dân trí cao,,,,,9.0,0,79.42,7.0
306031048,1,"Nhà 2 tấm đẹp như mơ, hẻm xe hơi 3m, Quận 4, giá hời cho người nhanh tay","3,8 tỷ",3.8,"171,13 triệu/m²",22.2,Quận 4,"Đ. Đoàn Văn Bơ, P. 13, Q. 4, Tp. Hồ Chí Minh",1.0,1.0,30/12/2025,https://meeyland.com/ban-nha-rieng-quan-4-ho-chi-minh-i1223/306031048,"Chào mừng quý khách đến với ""thiên đường"" thu nhỏ tại Quận 4! Ngôi nhà 2 tầng này không chỉ né quy hoạch mà còn nằm trong khu dân cư hiện hữu, đảm bảo cuộc sống an cư lạc nghiệp. Vị trí thì khỏi bàn: cách mặt tiền xe hơi chỉ 3 căn nhà, tha hồ vi vu. Hẻm trước nhà rộng 3m, thông thoáng, xe cộ ra vào vi vu như đi trên đường đua. Diện tích tuy ""nhỏ mà có võ"" với 24m2 (3x7.4m), nhưng đừng lo, diện tích sử dụng lên tới 48m2, đủ cho bạn bung lụa. Nhà có 1 trệt, 1 lầu, bao gồm 1 phòng ngủ ấm cúng và 1 WC tiện lợi. Đặc biệt, nhà đã hoàn công đầy đủ và có ban công thoáng mát để bạn hít thở không khí trong lành. Chủ nhà ""hào phóng"" để lại toàn bộ nội thất xịn sò như hình, chỉ việc xách vali vào ở thôi! Pháp lý thì ""chuẩn không cần chỉnh"": sổ hồng riêng, mua bán sang tên công chứng minh bạch. Tiện ích xung quanh thì ""ngập tràn"": gần chợ, gần trường học, cách mặt tiền chỉ vài chục mét. Muốn gì có nấy, tiện không tưởng! Giá bán ""hạt dẻ"" chỉ 3 tỷ 799 triệu, còn thương lượng trực tiếp với chính chủ. Cơ hội ""ngàn năm có một"" để sở hữu tổ ấm trong mơ. Liên hệ ngay Đạt Thân Thiện qua số điện thoại 0388878161 để xem nhà và chốt deal! Thu gọn Liên hệ: SĐT 1 038 887 **** Hiện số Thông tin chi tiết Mặt tiền 3m Chiều sâu 7,4m Mức độ giao dịch Càng sớm càng tốt Ưu điểm BĐS Ô tô đỗ gần, Đắc địa - Ngã 3-4-5-6, Gần nhiều tiện ích, Ban công riêng, Xây chắc chắn để ở",Càng sớm càng tốt,3m,"7,4m","Ô tô đỗ gần, Đắc địa - Ngã 3-4-5-6, Gần nhiều tiện ích, Ban công riêng, Xây chắc chắn để ở",,,,,3.0,0,171.17,2.0
305996311,1,"Nhà 5 tầng khu dân cư hiện hữu, hẻm 4m vip Đoàn Văn Bơ, sát chợ Xóm Chiếu - 5 tỷ",5 tỷ,5.0,250 triệu/m²,20.0,Quận 4,"Đ. Đoàn Văn Bơ, Q. 4, Tp. Hồ Chí Minh",,,29/12/2025,https://meeyland.com/ban-nha-rieng-quan-4-ho-chi-minh-i1223/305996311,"Bán nhà 5 tầng, khu dân cư hiện hữu, không lo giải tỏa, hẻm trước nhà hơn 4m, lô nhì mặt tiền hẻm VIP Đoàn Văn Bơ, hẻm thông Khánh Hội, kết nối khu phân lô Hai Mươi Thước, cách chợ Xóm Chiếu chỉ 20m. Diện tích đất là 20m2, ngang 3m, dài 6m, nở hậu 4.5m. Diện tích sử dụng 73.8m2, đã hoàn công đầy đủ. Nhà có kết cấu 5 tầng trệt, lửng, 2 lầu và sân thượng. Hướng nhà là hướng Đông Nam. Vị trí đắc địa, sát chợ Xóm Chiếu, khu ẩm thực Hai Mươi Thước, chỉ 10m ra mặt tiền đường, qua cầu Camet sang Quận 1 chỉ 1 phút. Khu dân cư hiện hữu, an ninh, hàng xóm thân thiện. Tiện ích xung quanh đầy đủ gần chợ, trường học các cấp, Đại học Nguyễn Tất Thành, Công an, UBND Quận 4. Thuận tiện di chuyển đến Quận 1, Quận 7, Quận 8. Giá bán: 5 tỷ. Liên hệ Tâm Nha qua số điện thoại 0372499115 để biết thêm chi tiết. Thu gọn Liên hệ: SĐT 1 037 249 **** Hiện số Thông tin chi tiết Mức độ giao dịch Càng sớm càng tốt Ưu điểm BĐS Giao thông thuận lợi, Gần nhiều tiện ích",Càng sớm càng tốt,,,"Giao thông thuận lợi, Gần nhiều tiện ích",,,,,3.0,1,250.0,4.0
306060382,1,"Nhà 2 tầng Tỉnh Lộ 10, 4m x 21m, tương lai ra mặt tiền 20m",3 tỷ,3.0,"35,71 triệu/m²",84.0,Quận 4,"P. 10, Q. 4, Tp. Hồ Chí Minh",,,26/12/2025,https://meeyland.com/ban-nha-rieng-quan-4-ho-chi-minh-i1223/306060382,"Nhà 2 tầng siêu xinh tại Tỉnh Lộ 10, tương lai mở rộng ra mặt tiền 20m cực đỉnh! Diện tích 4x21m, sổ vuông vắn, sẵn sàng đón chủ mới. Nhà nằm ở vị trí đắc địa, tiềm năng tăng giá cực cao khi Tỉnh Lộ 10 được mở rộng. Giá chỉ nhỉnh 3 tỷ, quá hời cho một căn nhà có vị trí và tiềm năng như vậy. Liên hệ ngay để không bỏ lỡ cơ hội này nhé! Số điện thoại: 0902869984 Thu gọn Liên hệ: SĐT 1 090 286 **** Hiện số Thông tin chi tiết Mặt tiền 4m Chiều sâu 21m Mức độ giao dịch Càng sớm càng tốt Ưu điểm BĐS Gần nhiều tiện ích",Càng sớm càng tốt,4m,21m,Gần nhiều tiện ích,,,,,20.0,1,35.71,2.0
305998797,1,"Nhà mặt tiền hẻm Quận 4 - Diện tích 36.6m², giá tốt 3.69 tỷ","3,69 tỷ",3.69,"100,82 triệu/m²",36.6,Quận 4,"Q. 4, Tp. Hồ Chí Minh",2.0,,26/12/2025,https://meeyland.com/ban-nha-rieng-quan-4-ho-chi-minh-i1223/305998797,"Siêu phẩm nhà mặt tiền hẻm Quận 4 đây rồi, giá cực tốt cho anh chị em đầu tư hoặc an cư! Diện tích 36.6m², nở hậu tài lộc, thiết kế thông minh với kết cấu trệt lầu. Gia chủ có hẳn một khoảng sân trước nhà rộng rãi để xe thoải mái, không gian phòng khách và bếp cực kỳ thoáng đãng, sẵn sàng đón tiếp bạn bè. Tận hưởng 2 phòng ngủ sáng sủa, đón gió trời tự nhiên. Vị trí thì khỏi bàn, ngay khu ăn uống sầm uất, gần chợ 200 tiện lợi, chỉ 5 phút là tới Quận 1 sôi động. Pháp lý minh bạch với sổ hồng riêng, hoàn công đầy đủ, phong thủy cực tốt, chủ nhà hỗ trợ rút sổ tận tình. Cơ hội sở hữu nhà đẹp, vị trí đắc địa không thể bỏ lỡ! Liên hệ ngay em Phú để xem nhà và chốt cọc nhé: 0974896970. Thu gọn Liên hệ: SĐT 1 097 489 **** Hiện số Thông tin chi tiết Mức độ giao dịch Càng sớm càng tốt Ưu điểm BĐS Kinh doanh được, Dân trí cao, Giao thông thuận lợi, Vị trí trung tâm",Càng sớm càng tốt,,,"Kinh doanh được, Dân trí cao, Giao thông thuận lợi, Vị trí trung tâm",,,,,,1,100.82,2.0
304760587,1,"Bán nhà hẻm 3 gác đường 11 phường 4, quận 4, giá 9,2 tỷ","9,2 tỷ",9.2,"152,57 triệu/m²",60.3,,Thu gọn,5.0,5.0,25/12/2025,https://meeyland.com/ban-nha-rieng-quan-4-ho-chi-minh-i1223/304760587,"Bán nhà hẻm 3 gác đường 11, phường 4, quận 4, giá 9,2 tỷ. Căn 1: Nhà đường 11 - Diện tích đất: 60,3m2 (6,1m x 9,9m) - Hướng Đông Bắc. Diện tích sàn 187m2 - Gần sân vận động và quảng trường Khánh Hội. - Kết cấu: 1 trệt 2 lầu và sân thượng. - Nhà gồm 1 sân đậu xe, 1 khách, 1 bếp, 5 ngủ, 5 vệ sinh. - Hẻm thông ra Khánh Hội và Hoàn Diệu. - Đang khai thác cho thuê 30 triệu/ tháng. - Giá bán: 9,2 tỷ thương lượng. Hiện tại chúng tôi đang có nhiều sản phẩm đất nền thổ cư, nhà phố, biệt thự vườn, shophouse...... Quý khách hàng có nhu cầu xin liên hệ Mr Tuấn. Hotline: 0902.232.268 - 0982.303.868. Thu gọn Liên hệ: SĐT 1 090 223 **** Hiện số Thông tin chi tiết Mặt tiền 6,1m Chiều sâu 9,9m Nội thất Có Số ban công 3 Mức độ giao dịch Trong ngày Hướng ban công Đông Bắc Tiện ích Sân chơi, Wifi, Khu để xe Ưu điểm BĐS Kinh doanh được, Cho thuê giá cao, Quy hoạch ổn định, Ô tô đỗ gần, Gần nhiều tiện ích Thu gọn",Trong ngày,"6,1m","9,9m","Kinh doanh được, Cho thuê giá cao, Quy hoạch ổn định, Ô tô đỗ gần, Gần nhiều tiện ích",Có,3.0,Đông Bắc,"Sân chơi, Wifi, Khu để xe",6.1,1,152.57,3.5
306005353,1,"Biệt thự mini Quận 4, ngang 5m, 3 lầu, 8,3 tỷ","8,3 tỷ",8.3,"207,5 triệu/m²",40.0,Quận 4,"P. 4, Q. 4, Tp. Hồ Chí Minh",4.0,4.0,24/12/2025,https://meeyland.com/ban-nha-rieng-quan-4-ho-chi-minh-i1223/306005353,"Tọa lạc tại khu dân cư sầm uất, biệt thự mini tại Quận 4 mở ra một không gian sống lý tưởng. Với diện tích 40m², ngang 5m, dài 8m, căn nhà sở hữu diện tích sử dụng lên đến 130m², được xây dựng kiên cố với kết cấu Bê tông cốt thép vững chắc. Công trình gồm 3 tầng: trệt, 2 lầu và sân thượng, cùng ban công được nới rộng thêm 1m, mang đến không gian sinh hoạt thoáng đãng. Bố trí 4 phòng và 3 toilet đầy đủ công năng, đáp ứng mọi nhu cầu của gia đình. Nằm trên mặt tiền đường số rộng 6m, cách đường Vĩnh Hội chỉ 50m, biệt thự mini này có hẻm xe tải quay đầu, cực kỳ thuận tiện cho việc kinh doanh đa ngành nghề. Phía trước nhà rộng rãi, việc quay đầu xe trở nên dễ dàng. Hướng nhà Đông Bắc đón gió mát lành. Giá bán: 8.3 tỷ. Liên hệ Minh: 0799821983 để biết thêm chi tiết. Thu gọn Liên hệ: SĐT 1 079 982 **** Hiện số Thông tin chi tiết Mặt tiền 5m Chiều sâu 8m Mức độ giao dịch Càng sớm càng tốt Ưu điểm BĐS Kinh doanh được, Giao thông thuận lợi, Có tầng lửng + tum",Càng sớm càng tốt,5m,8m,"Kinh doanh được, Giao thông thuận lợi, Có tầng lửng + tum",,,,,5.0,1,207.5,5.0
