id,Page,Title,Price_Raw,Price_Billion,Price_per_m2,Area_m2,District,Address,Bedrooms,Toilets,Post_Time,Link,Description,Mặt tiền,Chiều sâu,Mức độ giao dịch,Ưu điểm BĐS,Hướng ban công,Tiện ích,Nội thất,Số ban công,Post_Year,Post_Month,Post_Day,Post_Weekday,is_mattien,Floor,is_hem,Width_m,Is_MatTien,Price_Per_m2,Floors,Ward
104754381,1,"Bán nhà mặt tiền kinh doanh Nguyễn Cư Trinh, Cô Giang, quận 1, 94m2, chỉ 24 tỷ",24 tỷ,24.0,255.3,94.0,Quận 1,"Đ. Nguyễn Cư Trinh, P. Cô Giang, Q. 1, Tp. Hồ Chí Minh",2.0,2.0,2025-12-25,https://meeyland.com/ban-nha-mat-pho-quan-1-ho-chi-minh-i1323/104754381,"Hạ tiếp 2 tỷ bán nhanh, giá mới 24 tỷ Bán nhà mặt tiền kinh doanh hạ chào 7,5 tỷ, Nguyễn Cư Trinh, Cô Giang, quận 1, 94m2, chỉ 24 tỷ Diện tích: 3,5m x 27m, 94m2 Nhà cấp 4 nên tiện xây sửa thành toà nhà cao tầng kinh doanh, khách sạn, văn phòng công ty, nhà hàng Vị trí dắc địa, 5 phút đi qua Phố đi bộ Nguyễn Huệ, Bùi Viện, Võ Văn Kiệt, Trường Đại học, ủy ban Phường Ngân hàng định giá 35 tỷ, giờ chủ chào giá 24 tỷ Chính chủ lâu đời, pháp lý sạch, sổ ở nhà sẵn sàng công chứng Quý khách có nhu cầu vui lòng gọi Ninh mặt tiền, để xem nhà và được tư vấn miễn phí 24/7 Phone, Zalo: 0767 855 573 Trao niềm tin Nhận sự hài lòng Thu gọn Liên hệ: SĐT 1 076 785 **** Hiện số Thông tin chi tiết Mặt tiền 3,5m Chiều sâu 26,86m Mức độ giao dịch Càng sớm càng tốt Ưu điểm BĐS Dân trí cao, Giao thông thuận lợi, Đắc địa - Ngã 3-4-5-6",,"26,86m",Càng sớm càng tốt,"Dân trí cao, Giao thông thuận lợi, Đắc địa - Ngã 3-4-5-6",,,,,2025,12,25,3,0,,1,3.5,1,255.32,1.0,Nguyễn Cư Trinh
302949591,2,"Bán nhà mặt tiền kinh doanh Ba Tháng Hai, phường 12, Quận 11, 81m2, 3 tầng, giá rẻ","17,5 tỷ",17.5,216.0,81.0,Quận 11,"Đ. 3/2, P. 12, Q. 11, Tp. Hồ Chí Minh",3.0,3.0,2025-12-25,https://meeyland.com/ban-nha-mat-pho-quan-11-ho-chi-minh-i1323/302949591,"Mặt tiền lô góc kinh doanh siêu đỉnh giáp quận 5, quận 10 - 3 tầng 81m2 - đoạn giao thương sầm uất - chỉ hơn 17 tỷ thương lượng. Liên hệ: 0912651992 Bán nhà mặt tiền kinh doanh Ba Tháng Hai, phường 12, Quận 11, 81m2, 3 tầng, giá rẻ. + Diện tích: 3.8m/nở hậu 5m x 18.5m. Công nhân 67m2/81m2. + Kết cấu: 1 trệt 2 lầu có sân thượng 3PN, 3WC. Nhà lô góc Mặt tiền đường 25M - Hẻm 4m thông thoáng. + Vị trí : Mặt tiền kinh doanh đường 3/2, ngay trung tâm Quận 11, giao thương tấp nập, đi các quận lân cận 3, 5, 6,10, Tân Bình, Tân Phú… rất thuận tiện. + Hiện đang cho thuê 30triệu/ tháng, họp đồng 5 năm. + Pháp lý chuẩn, sổ đẹp, công chứng sang tên ngay. + Giá: 17,5 tỷ. thương lượng. Link tham khảo: https://nhatanbinhgiare.blogspot.com/ Quý khách có nhu cầu, vui lòng gọi Ninh mặt tiền, để xem nhà và được tư vấn miễn phí 24/7. Phone, Zalo: 0767855573. Chuyên nghiệp – Uy tín – Tận tình. Thu gọn Liên hệ: SĐT 1 076 785 **** Hiện số Thông tin chi tiết Mặt tiền 3,8m Chiều sâu 18,5m Mức độ giao dịch Càng sớm càng tốt Ưu điểm BĐS Dân trí cao",,"18,5m",Càng sớm càng tốt,Dân trí cao,,,,,2025,12,25,3,0,3.0,1,5.0,1,216.05,3.5,12
303671660,2,"Bán nhà 2 mặt tiền Lê Văn Sỹ, phường 12, quận 3, 200m2, 5 tầng, dòng tiền 250 triệu/ tháng",95 tỷ,95.0,475.0,200.0,Quận 3,"Đ. Lê Văn Sỹ, P. 12, Q. 3, Tp. Hồ Chí Minh",4.0,4.0,2025-12-25,https://meeyland.com/ban-nha-mat-pho-quan-3-ho-chi-minh-i1323/303671660,"Bán nhà 2 mặt tiền Lê Văn Sỹ, phường 12, quận 3, 200m2, 5 tầng, dòng tiền 250 triệu/ tháng. + Vị trí lô góc, 2 mặt kinh doanh lớn. Xa hoa đẳng cấp nhất. Cách quận 1 chỉ 300m. + Thông số dt hiếm, nhà 2 mặt tiền, thu nhập hiện tại hơn 3 tỷ/năm. Hợp đồng còn 3 năm, gia hạn không giới hạn. + Chuẩn đẹp từ A đến Z, không lỗi phong thuỷ, khuôn đất nở hậu cực đẹp, vượng hút tài lộc. + Đáp ứng tất cả các mục đích đầu tư khó nhất, từ xd toà nhà lớn để kd các thương hiệu lớn đến mục đích xây dựng trung tâm thương mại, ngân hàng và tất cả các loại ngành nghề khác + Diện tích 8m/ nở hậu 15m x 18m. Công nhận 152m2/200m2 + Giá: 9x tỷ, thương lượng Link tham khảo: https://nhatanbinhgiare.blogspot.com/ Quý khách có nhu cầu vui lòng gọi Ninh mặt tiền, để xem nhà và được tư vấn miễn phí. Phone, zalo: 0767855573. Chuyên nghiêp – Uy tín – Tận tình Thu gọn Liên hệ: SĐT 1 076 785 **** Hiện số Thông tin chi tiết Mặt tiền 8m Chiều sâu 18m Mức độ giao dịch Càng sớm càng tốt Ưu điểm BĐS Dân trí cao",8.0,18m,Càng sớm càng tốt,Dân trí cao,,,,,2025,12,25,3,1,5.0,0,15.0,1,475.0,5.0,12
304399634,2,"Bán nhà mặt tiền kinh doanh ngộp bank, hạ chào 10 tỷ, Lý Chính Thắng, phường 7, quận 3, 205m2, 2 tầng, nở hậu","51,9 tỷ",51.9,253.2,205.0,Quận 3,"Đ. Lý Chính Thắng, P. Võ Thị Sáu, Q. 3, Tp. Hồ Chí Minh",2.0,2.0,2025-12-25,https://meeyland.com/ban-nha-mat-pho-quan-3-ho-chi-minh-i1323/304399634,"Bán nhà mặt tiền kinh doanh ngộp bank, hạ chào 10 tỷ, Lý Chính Thắng, Phường 7, Quận 3, 205m2, 2 tầng, nở hậu. - Diện tích 3,9m/nở hậu đều 12m x 20m. Công nhận 205m2 - Hiện đang cho Thẩm Mỹ Viện thuê 100 triệu/tháng. - Vị trí: Nhà nằm ngay ngã tư Lý Chính Thắng và Bà Huyện Thanh Quan. - Tiện ích bủa vây. Phù hợp xây Biuding. - Sổ vay Agribank 33 tỷ. Trả còn 28 tỷ, Nhờ khách rút sổ giúp chủ - Giá: 5x tỷ, thương lượng. Chỉ nhỉnh 260tr/m2. Giá khu vực 380tr -đến 420tr/m2 Link tham khảo: https://nhatanbinhgiare.blogspot.com/ Quý khách có nhu cầu, vui lòng gọi Tùng thổ cư. Để xem nhà, và được tư vấn miễm phí 24/7. Phone, Zalo: 0767855573. Chuyên nghiệp – Uy tín – Tận tình Thu gọn Liên hệ: SĐT 1 076 785 **** Hiện số Thông tin chi tiết Mặt tiền 3,9m Chiều sâu 20m Mức độ giao dịch Càng sớm càng tốt Ưu điểm BĐS Dân trí cao",,20m,Càng sớm càng tốt,Dân trí cao,,,,,2025,12,25,3,0,2.0,0,12.0,1,253.17,2.0,6
304574453,2,"Chỉ 65triệu/m2, có nhà mặt tiền kinh doanh Hà Huy Giáp, Thạnh Xuân, quận 12, 207m2, 2 tầng, ngang 6,2m","13,5 tỷ",13.5,65.2,207.0,Quận 12,"Đ. Hà Huy Giáp, P. Thạnh Xuân, Q. 12, Tp. Hồ Chí Minh",2.0,2.0,2025-12-25,https://meeyland.com/ban-nha-mat-pho-quan-12-ho-chi-minh-i1323/304574453,"MẶT TIỀN HÀ HUY GIÁP QUẬN 12 - RẺ HƠN THỊ TRƯỜNG 20% (65 TRIỆU/M2) - KINH DOANH SẦM UẤT - 207M2 - NGANG HƠN 6M - LÔ GÓC - SỔ ĐẸP NỞ HẬU TÀI LỘC. Chỉ 65 triệu/m2, có nhà mặt tiền kinh doanh Hà Huy Giáp, Thạnh Xuân, Quận 12, 207m2, 2 tầng, ngang 6,2m. Diện tích: 6,2m/ nở hậu dều 12,5m x 23m. Công nhận 207m2. Vị trí đẹp, lô góc 2 mặt tiền đường sầm uất, thuận tiện kinh doanh đa ngành nghề. Gấn ngã 3 đường đi cầu Phú Long mới, qua Bình Dương cực gần Nhà phù hợp kinh doanh siêu thị, quán ăn, phòng mạch, showroom... Chỉ 65 triệu/m2, thấp hơn khu vực 20%, giá khu vực hơn 90-110 triệu/m2. Ngang hơn 6m, sổ nở hậu tài lộc, pháp lý chuẩn. Hiện trạng nhà 1 trệt 1 lửng, tiện xây dựng mới. Giá: 13.5 tỷ, thương lượng. Link tham khảo: https://nhatanbinhgiare.blogspot.com/ Quý khách có nhu cầu vui lòng gọi Ninh mặt tiền, để xem nhà và đươc tư vấn miễn phí. Phone, Zalo: 0767855573. Trao niềm tin – Nhận sự hài lòng. Thu gọn Liên hệ: SĐT 1 076 785 **** Hiện số Thông tin chi tiết Mặt tiền 6,2m Chiều sâu 23m Mức độ giao dịch Càng sớm càng tốt Ưu điểm BĐS Kinh doanh được, Dân trí cao, Giao thông thuận lợi, Gần nhiều tiện ích, Gần mặt đường",,23m,Càng sớm càng tốt,"Kinh doanh được, Dân trí cao, Giao thông thuận lợi, Gần nhiều tiện ích, Gần mặt đường",,,,,2025,12,25,3,0,2.0,0,6.0,1,65.22,2.0,Thạnh Xuân
304639024,3,"Bán nhà mặt tiền ngộp, xe hơi đỗ cửa đường số 53, Hiệp Bình Chánh, Thủ Đức, 151m2, 3 tầng, còn mới","13,5 tỷ",13.5,89.4,151.0,Thành phố Thủ Đức,"Đ. 53, P. Hiệp Bình Chánh, Tp. Thủ Đức, Tp. Hồ Chí Minh",5.0,5.0,2025-12-25,https://meeyland.com/ban-nha-mat-pho-thu-duc-ho-chi-minh-i1323/304639024,"Bán nhà mặt tiền ngộp, xe hơi đỗ cửa ĐS 53, Hiệp Bình Chánh, Thủ Đức, 151m2, 3 tầng, còn mới + DT: 9,5m x 16m. Công nhận đủ 151m2 + Kết cấu: Nhà 3 tầng, phòng khách, Bếp, 5 phòng ngủ (có PN dưới trệt cho người lớn tuổi), 4WC, sân thượng, tum để đồ + Vị trí: Mặt tiền đường số, Hiệp Bình Chánh, Thủ Đức. Chỉ 2 phút tới đường Hiệp Bình, 5 phút tới Phạm Văn Đồng, chợ Hiệp Bình, Giga mail Phạm Văn Đồng + Ngang bề thế, gần 10m, số A4, chủ tự xây gần 5 tỷ + Sổ chủ đang nhờ Bank giử hộ 12 tỷ cho chắc chắn + Giá: 13.x tỷ, thương lượng ĐỂ BIẾT THÊM CHI TIẾT, QUÝ KHÁCH VUI LÒNG GỌI Ninh mặt tiền ĐỂ ĐƯỢC TƯ VẤN VÀ XEM NHÀ MIỄN PHÍ 24/7. PHONE, ZALO: 0767855573. TRAO NIỀM TIN – NHẬN SỰ HÀI LÒNG. Thu gọn Liên hệ: SĐT 1 076 785 **** Hiện số Thông tin chi tiết Mặt tiền 9,5m Chiều sâu 16m Mức độ giao dịch Càng sớm càng tốt Ưu điểm BĐS Dân trí cao",,16m,Càng sớm càng tốt,Dân trí cao,,,,,2025,12,25,3,0,3.0,0,10.0,1,89.4,3.0,Hiệp Bình Chánh
304758397,3,"Bán nhà mặt tiền kinh doanh đường 3 Tháng 2, phường 8, quận 10, 4 tầng, không lộ giới, quy hoạch","13,5 tỷ",13.5,500.0,27.0,Quận 10,"Đ. 3/2, P. 8, Q. 10, Tp. Hồ Chí Minh",3.0,3.0,2025-12-25,https://meeyland.com/ban-nha-mat-pho-quan-10-ho-chi-minh-i1323/304758397,"Bán nhà mặt tiền kinh doanh đường 3 Tháng 2, phường 8, quận 10, 4 tầng, không lộ giới, quy hoạch Nhà mặt tiền kinh doanh đa ngành nghề Cung đường 3 Tháng 2 tấp nập ngày đêm. Kết cấu: 4 tầng, gồm mặt bằng kinh doanh, 3 phòng ngủ, có thang tời hàng lên lầu. Giờ tận dụng làm kho chứa đồ Vị trí: Gần bên Nguyễn Tri Phương, Thành Thái, Lý Thái Tổ, Nguyễn Tiểu La, Nguyễn Lâm, Nguyễn Kim, giao thông thuận tiện Tiện ích: Sát Chợ Nguyễn Lâm, chợ Nhật Tảo, Bệnh viên Nhi Đồng 2, Bệnh viện 115, và quá nhiều Trường học các cấp vây quanh, các khu vui chơi giải trị như Vạn Hạnh Mail... Chủ đang gửi sổ ở Vietcom bank 9 tỷ giữ hộ cho chắc chắn. Nhờ khách hữu duyên hỗ trợ rút sổ giúp chủ. Diện tích: 3,23m x 8,15m. Công nhận đủ Giá: 13,x tỷ, thương lượng Link tham khảo: https://nhatanbinhgiare.blogspot.com/ Quý khách có nhu cầu, vui lòng gọi Ninh mặt tiền, để xem nhà và được tư vấn miễn phí 24/7. Phone, zalo: 0767855573. Chuyên nghiệp – Uy tín – Tận tình. Thu gọn Liên hệ: SĐT 1 076 785 **** Hiện số Thông tin chi tiết Mặt tiền 3,3m Chiều sâu 8,2m Mức độ giao dịch Càng sớm càng tốt Ưu điểm BĐS Kinh doanh được, Dân trí cao, Giao thông thuận lợi, Gần nhiều tiện ích",,"8,2m",Càng sớm càng tốt,"Kinh doanh được, Dân trí cao, Giao thông thuận lợi, Gần nhiều tiện ích",,,,,2025,12,25,3,0,4.0,0,3.23,1,500.0,4.0,2
304913789,3,"Bán đất mặt tiền Nguyễn Trãi, phường 2, Quận 5, giá 400 tỷ",400 tỷ,400.0,500.0,645.0,Quận 5,"53, Đ. Nguyễn Trãi, P. 2, Q. 5, Tp. Hồ Chí Minh",4.0,3.0,2025-12-25,https://meeyland.com/ban-dat-quan-5-ho-chi-minh-i1123/304913789,"Bán đất mặt tiền Nguyễn Trãi, phường 2, Quận 5, giá 400 tỷ. - Diện tích: 645m2 (20,3m x 31,6m) nở hậu 21,4m. - Hướng Tây Bắc - Quy hoạch xây cao tầng hệ số 4,5 mật độ 70%. - Hiện trạng có nhà cũ 4 lầu trước làm nhà hàng DTSD 1590m2. - View Đại Học Sài Gòn gần văn Phòng BCA phía Nam. - Vị trí : Khu vực tập trung đông trường học nhiều sinh viên, ngay chợ đêm Nguyễn Trãi. - Giá bán: 400 tỷ. * Hiện tại chúng tôi đang có nhiều sản phẩm đất nền thổ cư, nhà phố, biệt thự vườn, shophouse....... * Quý khách hàng có nhu cầu xin liên hệ Mr Tuấn. * Hotline: 0902.232.268 - 0982.303.868. Thu gọn Liên hệ: SĐT 1 090 223 **** Hiện số Thông tin chi tiết Mặt tiền 20,3m Chiều sâu 31,6m Mức độ giao dịch Trong ngày Ưu điểm BĐS Kinh doanh được, Cho thuê giá cao, GPXD cao tầng, Quy hoạch ổn định, Vị trí trung tâm",,"31,6m",Trong ngày,"Kinh doanh được, Cho thuê giá cao, GPXD cao tầng, Quy hoạch ổn định, Vị trí trung tâm",,,,,2025,12,25,3,0,4.0,0,20.3,1,620.16,5.0,12
303767507,3,"Bán nhanh nhà Bình Thọ, Thủ Đức diện tích nhà 56m2","2,95 tỷ",2.95,52.7,56.0,Thành phố Thủ Đức,"P. Bình Thọ, Tp. Thủ Đức, Tp. Hồ Chí Minh",3.0,3.0,2025-12-25,https://meeyland.com/ban-nha-rieng-thu-duc-ho-chi-minh-i1223/303767507,"Bán nhanh nhà Bình Thọ, Thủ Đức diện tích nhà 56m2 Mô tả: Diện tích: 4m × 14m Kết cấu: 1 trệt, 2 lầu, gồm 3 ngủ, 4 wc, khách, bếp, ban công Giá: 3tỷ 250 Tiện ích đầy đủ, chợ, trường học, siêu thị, quán xá không thiếu thứ gì. Gần Đặng Văn Bi, Võ Văn Ngân đi lại dễ dàng Vị trí: Lượng khu vực đông đúc sầm uất. Hỗ trợ vay ngân hàng., Pháp lý chuẩn công chứng ngay trong ngày. Thu gọn Liên hệ: SĐT 1 090 329 **** Hiện số Thông tin chi tiết Mặt tiền 4m Chiều sâu 14m Mức độ giao dịch Gấp",4.0,14m,Gấp,,,,,,2025,12,25,3,1,2.0,0,4.0,1,52.68,3.0,Bình Thọ
303989761,3,"Chính chủ bán nhà Phục Hưng phường 5, quận 8","2,8 tỷ",2.8,70.0,40.0,Quận 8,"Đ. Nguyễn Sĩ Cố, P. 5, Q. 8, Tp. Hồ Chí Minh",3.0,3.0,2025-12-25,https://meeyland.com/ban-nha-rieng-quan-8-ho-chi-minh-i1223/303989761,"Chính chủ bán nhà Nguyễn Sĩ Cố, phường 5, quận 8 Ngang: 4m x 10m, 1 trệt, 1 lầu, 3 phòng ngủ 2wc, bang công, có phòng dưới đất phù hợp gia đình có người lớn tuổi ờ. Nhà mới đẹp đã gắng một số thiết bị nhà, chỉ cần xách vali vào là ở ngay. Vị trí: hem trước nhà 2m khu công chức yên tịnh an ninh, phù hợp gia đình ờ lâu dài. Pháp lý sổ hồng riêng chính chủ [không quy hoạch] nhà đất Anh Tú quận 8 Liên hệ: 0937301759 Thu gọn Liên hệ: SĐT 1 090 329 **** Hiện số Thông tin chi tiết Mặt tiền 4m Chiều sâu 10m Mức độ giao dịch Gấp",4.0,10m,Gấp,,,,,,2025,12,25,3,1,1.0,1,4.0,1,70.0,2.0,5
