id,Page,Title,Price_Raw,Price_Billion,Area_m2,District,Address,Bedrooms,Toilets,Post_Time,Link,Description
ban-can-ho-chung-cu-g14,1,Bán chung cư giá rẻ tại Việt Nam (12/2025),,,120,,"Mua bán chung cư giá rẻ, có sổ hồng, đủ tiện ích, mới nhất 2025 ✔️ Đã xác minh môi giới, chính chủ bán căn hộ chung cư tại MeeyLand.com",,,,https://meeyland.com/ban-can-ho-chung-cu-g14,
ban-chung-cu-mini-g13,1,Bán chung cư mini giá rẻ tại Việt Nam (12/2025),,,6,,"Mua bán chung cư mini giá rẻ, có sổ hồng, đủ tiện ích, mới nhất 2025 ✔️ Đã xác minh môi giới, chính chủ bán chung cư mini tại MeeyLand.com",,,,https://meeyland.com/ban-chung-cu-mini-g13,
ban-nha-rieng-g12,1,Bán nhà riêng giá rẻ tại Việt Nam (12/2025),,,90,,"Mua bán nhà riêng giá rẻ, có sổ đỏ, vị trí đẹp, mới nhất 2025 ✔️ Đã xác minh môi giới, chính chủ bán nhà nguyên căn tại MeeyLand.com",,,,https://meeyland.com/ban-nha-rieng-g12,
ban-nha-mat-pho-g13,1,Bán nhà mặt phố giá rẻ tại Việt Nam (12/2025),,,54,,"Mua bán nhà mặt phố giá rẻ, có sổ đỏ, vị trí đẹp, mới nhất 2025 ✔️ Đã xác minh môi giới, chính chủ bán nhà mặt phố tại MeeyLand.com",,,,https://meeyland.com/ban-nha-mat-pho-g13,
ban-nha-tap-the-g13,1,Bán nhà tập thể giá rẻ tại Việt Nam (12/2025),,,42,,"Mua bán nhà tập thể giá rẻ, có sổ đỏ, đủ diện tích, mới nhất 2025 ✔️ Đã xác minh môi giới, chính chủ bán nhà tập thể tại MeeyLand.com",,,,https://meeyland.com/ban-nha-tap-the-g13,
ban-dat-g11,1,Bán đất giá rẻ tại Việt Nam (12/2025),,,100,,"Mua bán đất giá rẻ, có sổ đỏ, vị trí đẹp, đủ diện tích, mới nhất 2025 ✔️ Đã xác minh môi giới, chính chủ bán đất tại MeeyLand.com",,,,https://meeyland.com/ban-dat-g11,
ban-dat-nen-du-an-g14,1,Bán đất nền dự án giá rẻ tại Việt Nam (12/2025),,,45,,"Mua bán đất nền dự án giá rẻ, có sổ đỏ, đủ diện tích, mới nhất 2025 ✔️ Đã xác minh môi giới, chính chủ bán đất nền dự án tại MeeyLand.com",,,,https://meeyland.com/ban-dat-nen-du-an-g14,
ban-biet-thu-lien-ke-g14,1,Bán biệt thự giá rẻ tại Việt Nam (12/2025),,,162,,"Mua bán biệt thự giá rẻ, có sổ đỏ, đủ diện tích, mới nhất 2025 ✔️ Đã xác minh môi giới, chính chủ bán biệt thự tại MeeyLand.com",,,,https://meeyland.com/ban-biet-thu-lien-ke-g14,
ban-shophouse-nha-pho-thuong-mai-g15,1,Bán shophouse giá rẻ tại Việt Nam (12/2025),,,50,,"Mua bán shophouse giá rẻ, đủ giấy tờ, vị trí đẹp, mới nhất 2025 ✔️ Đã xác minh môi giới, chính chủ bán shophouse tại MeeyLand.com",,,,https://meeyland.com/ban-shophouse-nha-pho-thuong-mai-g15,
ban-nha-tro-g12,1,Bán nhà trọ giá rẻ tại Việt Nam (12/2025),,,357,,"Mua bán nhà trọ giá rẻ, đủ giấy tờ, đủ diện tích, mới nhất 2025 ✔️ Đã xác minh môi giới, chính chủ bán nhà trọ tại MeeyLand.com",,,,https://meeyland.com/ban-nha-tro-g12,
306099833,1,Nhà 3 tầng mới đẹp - ở ngay - nội thất cao cấp- khu phân lô - đường xe hơi rộng thoáng,,,54,Thủ Đức,"Meeyland có 8 ảnh về nhà mặt phố Đ. 6, P. Long Trường, Tp. Thủ Đức, Tp. Hồ Chí Minh. Diện tích 54m², giá 5.400.000.000  VNĐ. Mã tin rao: 306099833. Chính chủ đăng tin.",,,10/12/2025,https://meeyland.com/ban-nha-mat-pho-thu-duc-ho-chi-minh-i1323/306099833,
305966371,1,Hạ sập sàn biệt thự mini siêu đẹp 2 tầng,,,80,Thủ Đức,"Meeyland có 8 ảnh về nhà riêng P. Long Trường, Tp. Thủ Đức, Tp. Hồ Chí Minh. Diện tích 80m², giá 4.500.000.000  VNĐ. Mã tin rao: 305966371. Môi giới đăng tin.",,,10/12/2025,https://meeyland.com/ban-nha-rieng-thu-duc-ho-chi-minh-i1223/305966371,
303270749,1,"Chi 4.68 Tỷ, 2 tầng 62m2. Mặt tiền kinh doanh, xe tải đậu cửa Đào Tông Nguyên, Nhà Bè",,,80,Nhà Bè,"Meeyland có 5 ảnh về nhà riêng H. Nhà Bè, Tp. Hồ Chí Minh. Diện tích 62m², giá 4.680.000.000  VNĐ. Mã tin rao: 303270749. Môi giới đăng tin.",,,17/12/2025,https://meeyland.com/ban-nha-rieng-nha-be-ho-chi-minh-i1223/303270749,
306216741,1,Hẻm 284 Lê Văn Sỹ nhà 4 tầng 6n vị trí trung tâm hẻm thông sổ vuông đẹp pháp lý chuẩn,,,62,,"Meeyland có 5 ảnh về nhà riêng 284 Lê văn sỹ, Đ. Lê Văn Sỹ, P. 13, Q. 3, Tp. Hồ Chí Minh. Diện tích 46m², giá 6.900.000.000  VNĐ. Mã tin rao: 306216741. Môi giới đăng tin.",,,17/12/2025,https://meeyland.com/ban-nha-rieng-quan-3-ho-chi-minh-i1223/306216741,
305779557,1,"Bán nhà 5 tầng, mặt tiền lô góc, cách chợ Phú Nhuận chỉ vài bước chân",,,46,Phú Nhuận,"Meeyland có 6 ảnh về nhà riêng Đ. Cao Thắng, P. 17, Q. Phú Nhuận, Tp. Hồ Chí Minh. Diện tích 26m², giá 6.500.000.000  VNĐ. Mã tin rao: 305779557. Môi giới đăng tin.",,,17/12/2025,https://meeyland.com/ban-nha-rieng-phu-nhuan-ho-chi-minh-i1223/305779557,
306216521,1,"Chính chủ cần bán gấp nhà mặt tiền Nam Kỳ Khởi Nghĩa, phường 6, quận 3",,,30,,"Meeyland có 3 ảnh về nhà mặt phố Đ. Nam Kỳ Khởi Nghĩa, P. Võ Thị Sáu, Q. 3, Tp. Hồ Chí Minh. Diện tích 30m², giá 15.800.000.000  VNĐ. Mã tin rao: 306216521. Môi giới đăng tin.",,,17/12/2025,https://meeyland.com/ban-nha-mat-pho-quan-3-ho-chi-minh-i1323/306216521,
306068058,1,"Chớp ngay cơ hội sở hữu căn nhà siêu hot tại đường Phan Văn Trị, Gò Vấp",,,30,Gò Vấp,"Meeyland có 4 ảnh về nhà riêng Đ. Phan Văn Trị, Q. Gò Vấp, Tp. Hồ Chí Minh. Diện tích 45m², giá 7.000.000.000  VNĐ. Mã tin rao: 306068058. Môi giới đăng tin.",,,17/12/2025,https://meeyland.com/ban-nha-rieng-go-vap-ho-chi-minh-i1223/306068058,
306048852,1,"Đất vàng 2 mặt tiền Linh Xuân, Thủ Đức 64m² sổ hồng sẵn sàng, cơ hội đầu tư sinh lời",,,64,Thủ Đức,"Meeyland có 3 ảnh về đất P. Linh Xuân, Tp. Thủ Đức, Tp. Hồ Chí Minh. Diện tích 51.6m², giá 3.000.000.000  VNĐ. Mã tin rao: 306048852. Môi giới đăng tin.",,,17/12/2025,https://meeyland.com/ban-dat-thu-duc-ho-chi-minh-i1123/306048852,
306057091,1,"Nhà mặt tiền Phạm Văn Bạch - kinh doanh bao đã, giá 2,65 tỷ",,,64,Gò Vấp,"Meeyland có 6 ảnh về nhà mặt phố Đ. Phạm Văn Bạch, P. 1, Q. Gò Vấp, Tp. Hồ Chí Minh. Diện tích 125m², giá 2.650.000.000  VNĐ. Mã tin rao: 306057091. Môi giới đăng tin.",,,17/12/2025,https://meeyland.com/ban-nha-mat-pho-go-vap-ho-chi-minh-i1323/306057091,
306216130,1,Chỉ 2 tỷ sở hữu ngay shophoue khối đế vừa kinh doanh vừa ở,,,125,,"Meeyland có 4 ảnh về căn hộ chung cư Đ. Nguyễn Văn Linh, P. Tân Thuận Tây, Q. 7, Tp. Hồ Chí Minh. Diện tích 58m², giá 2.100.000.000  VNĐ. Mã tin rao: 306216130. Môi giới đăng tin.",,,17/12/2025,https://meeyland.com/ban-can-ho-chung-cu-quan-7-ho-chi-minh-i1423/306216130,
306057087,1,"Nhà 5 tầng kiên cố, 52m2, hẻm nhựa 8m, Vườn Lài Quận 12, giá 6 tỷ",,,58,,"Meeyland có 6 ảnh về nhà riêng P. Thạnh Lộc, Q. 12, Tp. Hồ Chí Minh. Diện tích 52m², giá 6.000.000.000  VNĐ. Mã tin rao: 306057087. Môi giới đăng tin.",,,17/12/2025,https://meeyland.com/ban-nha-rieng-quan-12-ho-chi-minh-i1223/306057087,
306058345,1,"Căn hộ dịch vụ Lê Quang Định, hốt bạc triệu mỗi tháng, xe hơi tận cửa",,,52,Bình Thạnh,"Meeyland có 7 ảnh về căn hộ dịch vụ - homestay Đ. Lê Quang Định, Q. Bình Thạnh, Tp. Hồ Chí Minh. Diện tích 59.8m², giá 6.950.000.000  VNĐ. Mã tin rao: 306058345. Môi giới đăng tin.",,,17/12/2025,https://meeyland.com/ban-can-ho-dich-vu-homestay-binh-thanh-ho-chi-minh-i1523/306058345,
306159248,1,"[Phường Bàn Cờ] Bán Nhà 3 Tầng, Nguyễn Đình Chiểu Gần Cư Xá Đô Thành, Chỉ 5,5 Tỷ",,,36,,"Meeyland có 6 ảnh về nhà riêng Đ. Nguyễn Đình Chiểu, P. 4, Q. 3, Tp. Hồ Chí Minh. Diện tích 36m², giá 5.500.000.000  VNĐ. Mã tin rao: 306159248. Môi giới đăng tin.",,,17/12/2025,https://meeyland.com/ban-nha-rieng-quan-3-ho-chi-minh-i1223/306159248,
