id,Page,Title,Price_Raw,Price_Billion,Price_per_m2,Area_m2,District,Address,Bedrooms,Toilets,Post_Time,Link,Description,Mặt tiền,Chiều sâu,Mức độ giao dịch,Ưu điểm BĐS,Tiện ích,Nội thất,Hướng ban công
302949591,1,"Bán nhà mặt tiền kinh doanh Ba Tháng Hai, phường 12, Quận 11, 81m2, 3 tầng, giá rẻ","17,5 tỷ",17.5,"216,05 triệu/m²",81,N/A,"Đ. 3/2, P. 12, Q. 11, Tp. Hồ Chí Minh",3,3,05/01/2026,https://meeyland.com/ban-nha-mat-pho-quan-11-ho-chi-minh-i1323/302949591,"Mặt tiền lô góc kinh doanh siêu đỉnh giáp quận 5, quận 10 - 3 tầng 81m2 - đoạn giao thương sầm uất - chỉ hơn 17 tỷ thương lượng. Liên hệ: 0912651992 Bán nhà mặt tiền kinh doanh Ba Tháng Hai, phường 12, Quận 11, 81m2, 3 tầng, giá rẻ. + Diện tích: 3.8m/nở hậu 5m x 18.5m. Công nhân 67m2/81m2. + Kết cấu: 1 trệt 2 lầu có sân thượng 3PN, 3WC. Nhà lô góc Mặt tiền đường 25M - Hẻm 4m thông thoáng. + Vị trí : Mặt tiền kinh doanh đường 3/2, ngay trung tâm Quận 11, giao thương tấp nập, đi các quận lân cận 3, 5, 6,10, Tân Bình, Tân Phú… rất thuận tiện. + Hiện đang cho thuê 30triệu/ tháng, họp đồng 5 năm. + Pháp lý chuẩn, sổ đẹp, công chứng sang tên ngay. + Giá: 17,5 tỷ. thương lượng. Link tham khảo: https://nhatanbinhgiare.blogspot.com/ Quý khách có nhu cầu, vui lòng gọi Ninh mặt tiền, để xem nhà và được tư vấn miễn phí 24/7. Phone, Zalo: 0767855573. Chuyên nghiệp – Uy tín – Tận tình. Thu gọn Liên hệ: SĐT 1 076 785 **** Hiện số Thông tin chi tiết Mặt tiền 3,8m Chiều sâu 18,5m Mức độ giao dịch Càng sớm càng tốt Ưu điểm BĐS Dân trí cao","3,8m","18,5m",Càng sớm càng tốt,Dân trí cao,,,
302468081,1,"Bán nhà trung tâm quận 11 mới đẹp 40m2, không quy hoạch, không lộ giới, giá 3,2 tỷ","3,2 tỷ",3.2,"152,38 triệu/m²",21,N/A,"Đ. Lê Thị Bạch Cát, P. 16, Q. 11, Tp. Hồ Chí Minh",2,2,05/01/2026,https://meeyland.com/ban-nha-rieng-quan-11-ho-chi-minh-i1223/302468081,"Bán nhà trung tâm quận 11 mới đẹp 40m2, không quy hoạch, không lộ giới, giá 3,2 tỷ. + Hàng hot trung tâm quận 11, nhà mới rất đẹp, vào ở ngay, sổ hồng riêng +Thiết kế 1 lầu, 2 phòng, bancon, hoàn công đủ, không bị lộ giới. +Hẻm thông, view đẹp 3 mặt tiền, có cửa đi bên hông rất thoáng, +Kế bên chợ Chim Xanh, đường rộng 10m, taxi đậu cửa Liên hệ: SĐT 1 091 858 **** Hiện số Thông tin chi tiết Mặt tiền 3m Chiều sâu 7m Mức độ giao dịch Càng sớm càng tốt Ưu điểm BĐS Giao thông thuận lợi",3m,7m,Càng sớm càng tốt,Giao thông thuận lợi,,,
306101517,1,"Siêu phẩm, nhà Hồng Bàng, phường 6, quận 11, sổ riêng, hoàn công đủ","3,25 tỷ",3.25,"51,59 triệu/m²",63,N/A,"Đ. Hồng Bàng, P. 6, Q. 11, Tp. Hồ Chí Minh",,,05/01/2026,https://meeyland.com/ban-nha-rieng-quan-11-ho-chi-minh-i1223/306101517,"Siêu phẩm, nhà Hồng Bàng, phường 6, quận 11. Nhà hẻm 4.5m ô tô ra vào thoải mái. Gần trường cấp 2 Hậu Giang. Khu vực dân cư đông đúc vì gần chung cư Cây Mai. Xung quanh đầy đủ cửa hàng, ngân hàng các loại. Mất tầm 5 phút là ra tới Nguyễn Trãi. Diện tích 63m² (4.5x14m). Xây 1 trệt 3 lầu. Nhà gồm 4 phòng ngủ + 3WC. Sổ hồng riêng, hoàn công đầy đủ. Hiện cho thuê 20 triệu/tháng. Giá bán: 3 tỷ 250 Thu gọn Liên hệ: SĐT 1 079 957 **** Hiện số Thông tin chi tiết Mức độ giao dịch Càng sớm càng tốt Ưu điểm BĐS Giao thông thuận lợi",,,Càng sớm càng tốt,Giao thông thuận lợi,,,
305956459,1,"Kẹt vốn bán gấp nhà Lãnh Binh Thăng, phường 8, quận 11, giá bán 3,15 tỷ","3,15 tỷ",3.15,"52,5 triệu/m²",60,N/A,"Đ. Lãnh Binh Thăng, P. 8, Q. 11, Tp. Hồ Chí Minh",,,04/01/2026,https://meeyland.com/ban-nha-rieng-quan-11-ho-chi-minh-i1223/305956459,"Kẹt vốn bán gấp nhà Lãnh Binh Thăng, phường 8, quận 11, giá bán 3,15 tỷ • Spa • Văn phòng • Căn hộ mini / cho thuê Thông tin nhà: • Diện tích: 4 x 15m. • Hiện đang cho thuê 18 triệu/tháng → Có dòng tiền ngay khi mua. Tiện ích xung quanh phong phú: Chợ, Siêu thị, Công viên, Trường học. Giá tốt 3 tỷ 150 – thương lượng chính chủ Sổ rõ ràng – sang tên ngay trong ngày Thu gọn Liên hệ: SĐT 1 090 443 **** Hiện số Thông tin chi tiết Mức độ giao dịch Gấp",,,Gấp,,,,
305968718,1,"Mặt tiền kinh doanh Quận 11, gần đường 3 Tháng 2, diện tích 60m2, 4 tầng, 4 phòng ngủ","12,2 tỷ",12.2,"203,33 triệu/m²",60,N/A,"Q. 11, Tp. Hồ Chí Minh",4,4,31/12/2025,https://meeyland.com/ban-nha-mat-pho-quan-11-ho-chi-minh-i1323/305968718,"Bán nhà mặt tiền kinh doanh tại Quận 11, vị trí kế bên đường 3 Tháng 2. Diện tích 60m2, nhà 4 tầng, thiết kế 4 phòng ngủ và 5 nhà vệ sinh. Thích hợp mua đầu tư kinh doanh. Giá bán: 12.2 tỷ (có thương lượng). Liên hệ: Hồng Ruby qua số điện thoại 0909834568 (Zalo). Liên hệ: SĐT 1 090 983 **** Hiện số Thông tin chi tiết Mức độ giao dịch Càng sớm càng tốt Ưu điểm BĐS Kinh doanh được, Giao thông thuận lợi",,,Càng sớm càng tốt,"Kinh doanh được, Giao thông thuận lợi",,,
305983313,1,"Bán đất sổ riêng 60m² hẻm ô tô 34 Bắc Sơn, Phường 11, Thành phố Hồ Chí Minh 1,69 tỷ","1,7 tỷ",1.7,"28,32 triệu/m²",60,N/A,"Đ. 34, Q. 11, Tp. Hồ Chí Minh",,,30/12/2025,https://meeyland.com/ban-dat-quan-11-ho-chi-minh-i1123/305983313,"Bán lô đất sổ riêng tại hẻm 34 Bắc Sơn, Phường 11, Thành phố Hồ Chí Minh. Diện tích 60m², đất đã phủ hồng, sẵn sàng sang tên nhanh chóng và hỗ trợ vay ngân hàng. Hẻm rộng rãi, xe ô tô 7 chỗ ra vào thoải mái, đường thông thoáng. Khu dân cư an ninh, dân trí cao. Vị trí đắc địa, sát đường Hàng Điều, rất thuận tiện cho việc an cư hoặc đầu tư sinh lời. Giá bán: 1 tỷ 699 triệu đồng. Liên hệ Zalo: 0988577096 để biết thêm chi tiết. Thu gọn Liên hệ: SĐT 1 098 857 **** Hiện số Thông tin chi tiết Mức độ giao dịch Càng sớm càng tốt Ưu điểm BĐS Kinh doanh được, Dân trí cao, Giao thông thuận lợi, Vị trí trung tâm, Ô tô đỗ gần",,,Càng sớm càng tốt,"Kinh doanh được, Dân trí cao, Giao thông thuận lợi, Vị trí trung tâm, Ô tô đỗ gần",,,
303478510,1,"Bán nhà riêng 4 phòng ngủ, 4WC, 56m2, 2,85 tỷ tại Lãnh Binh Thăng, phường 8, quận 11","2,85 tỷ",2.85,"50,89 triệu/m²",56,N/A,"Đ. Lãnh Binh Thăng, P. 8, Q. 11, Tp. Hồ Chí Minh",4,4,29/12/2025,https://meeyland.com/ban-nha-rieng-quan-11-ho-chi-minh-i1223/303478510,"Bán nhà riêng 4 phòng ngủ, 4WC, 56m2, 2,85 tỷ tại Lãnh Binh Thăng, phường 8, quận 11 Ngôi nhà có thiết kế hiện đại, phù hợp cho gia đình lớn. Pháp lý đầy đủ, sổ đỏ sẵn sàng. Nội thất cơ bản, bao gồm điều hòa, tủ lạnh. Đường vào rộng 6m, thuận tiện cho xe ô tô di chuyển. Mặt tiền 4m, thích hợp cho kinh doanh nhỏ. Gần các tiện ích như bệnh viện Chợ Rẫy, siêu thị Bách Hóa Xanh, công viên Dương Đình Nghệ, trường học các cấp. Liên hệ ngay để biết thêm thông tin chi tiết: Quang Minh, 0904430105. Thu gọn Liên hệ: SĐT 1 090 443 **** Hiện số Thông tin chi tiết Mức độ giao dịch Gấp",,,Gấp,,,,
305993136,1,"Nhà 5 tầng thang máy Quận 11, hẻm xe hơi 6m, 9.8 tỷ","9,8 tỷ",9.8,"233,33 triệu/m²",42,N/A,"Đ. Lạc Long Quân, P. 5, Q. 11, Tp. Hồ Chí Minh",4,4,29/12/2025,https://meeyland.com/ban-nha-rieng-quan-11-ho-chi-minh-i1223/305993136,"Nhà đẹp 5 tầng có thang máy, hẻm xe hơi 6m tại Lạc Long Quân, Quận 11. Diện tích 4m x 10.5m, kết cấu 1 trệt, 1 lửng, 3 lầu, sân thượng. Bao gồm 4 phòng ngủ, 5 WC, có phòng xông hơi, massage. Tặng full nội thất xịn sò. Hẻm xe hơi rộng 6m, xe vô tới nhà. Sổ hồng riêng, hoàn công đủ, pháp lý chuẩn, sẵn sàng công chứng. Giá chỉ 9.8 tỷ, thương lượng trực tiếp chính chủ. Liên hệ Phát 0906629283 để xem nhà ngay! Thu gọn Liên hệ: SĐT 1 090 662 **** Hiện số Thông tin chi tiết Mặt tiền 4m Chiều sâu 10,5m Mức độ giao dịch Càng sớm càng tốt Ưu điểm BĐS Giao thông thuận lợi, Thang máy, Có tầng hầm, Có tầng lửng + tum, Xây chắc chắn để ở",4m,"10,5m",Càng sớm càng tốt,"Giao thông thuận lợi, Thang máy, Có tầng hầm, Có tầng lửng + tum, Xây chắc chắn để ở",,,
305998588,1,"Nhà 5 tầng 4m x 15m, 60m2, đường 7m gần Ngã Tư Bốn Xã, thành phố Hồ Chí Minh",7 tỷ,7.0,"116,67 triệu/m²",60,N/A,"Q. 11, Tp. Hồ Chí Minh",,,29/12/2025,https://meeyland.com/ban-nha-rieng-quan-11-ho-chi-minh-i1223/305998588,"Bất động sản tọa lạc tại vị trí đắc địa, gần Ngã Tư Bốn Xã, thuộc khu vực dân cư cao tầng, đường xe hơi rộng 7m, sát mặt tiền. Diện tích đất là 4m x 15m, tổng diện tích sử dụng 60m2. Ngôi nhà được xây dựng kiên cố với 5 tầng đúc bê tông cốt thép, bao gồm sân thượng, khu vực phơi đồ và giếng trời thông thoáng, tạo không gian sống mát mẻ và tiện nghi. Vị trí thuận lợi di chuyển đến các tuyến đường lớn như Lê Văn Quới, Hương Lộ 2, Tỉnh Lộ 10 và gần khu vực Tên Lửa Aeon. Đây là một lựa chọn lý tưởng cho những ai tìm kiếm một không gian sống chất lượng tại Quận 11, Thành phố Hồ Chí Minh. Thu gọn Liên hệ: SĐT 1 090 750 **** Hiện số Thông tin chi tiết Mặt tiền 4m Chiều sâu 15m Mức độ giao dịch Càng sớm càng tốt Ưu điểm BĐS Kinh doanh được, Dân trí cao, Giao thông thuận lợi, Vị trí trung tâm, Xây chắc chắn để ở",4m,15m,Càng sớm càng tốt,"Kinh doanh được, Dân trí cao, Giao thông thuận lợi, Vị trí trung tâm, Xây chắc chắn để ở",,,
306053186,1,"Nhà sát mặt tiền Lê Trọng Tấn, hẻm xe tải thông, gần Đại học Công Thương",6 tỷ,6.0,"66,67 triệu/m²",90,N/A,"Q. 11, Tp. Hồ Chí Minh",,,26/12/2025,https://meeyland.com/ban-nha-rieng-quan-11-ho-chi-minh-i1223/306053186,"Vị trí đắc địa, nhà nằm sát mặt tiền đường Lê Trọng Tấn, hẻm xe tải thông thoáng, gần trường Đại học Công Thương. Diện tích rộng rãi với chiều ngang 5m và chiều dài 18m, rất phù hợp để xây dựng theo giấy phép xây dựng (GPXD) cho phép lên đến 5 tầng, tạo không gian sống thoải mái và tiện nghi. Khả năng kết nối giao thông nhanh chóng đến các địa điểm như đường Trường Chinh, Aeon Mall Sơn Kỳ và nhà ga T3. Giá bán nhỉnh 6 tỷ. Liên hệ ngay 0902106911 để xem nhà. Thu gọn Liên hệ: SĐT 1 090 210 **** Hiện số Thông tin chi tiết Mặt tiền 5m Chiều sâu 18m Mức độ giao dịch Gấp Ưu điểm BĐS Giao thông thuận lợi",5m,18m,Gấp,Giao thông thuận lợi,,,
305998788,1,"Đất vàng Lạc Long Quân 90.5m2, mặt tiền 5m, đường 7.5m, giá hời",6 tỷ,6.0,"66,3 triệu/m²",90.5,N/A,"Đ. Lạc Long Quân, P. 9, Q. 11, Tp. Hồ Chí Minh",,,26/12/2025,https://meeyland.com/ban-dat-quan-11-ho-chi-minh-i1123/305998788,"Cơ hội sở hữu lô đất kim cương ngay gần trục đường Lạc Long Quân sầm uất. Diện tích 90,5m2 với kích thước đẹp 5m x 18,1m, vuông vắn không lỗi lầm, sẵn sàng cho mọi ý tưởng đầu tư hoặc an cư. Đường trước đất rộng tới 7,5m, vỉa hè hai bên rộng 4m, đảm bảo giao thông thuận tiện, xe cộ ra vào dễ dàng, cực kỳ lý tưởng cho việc kinh doanh hoặc cho thuê. Mức giá nhỉnh 6 tỷ, một con số quá hấp dẫn cho một bất động sản có vị trí đắc địa và tiềm năng sinh lời cao. Liên hệ ngay 0985109555 để không bỏ lỡ cơ hội vàng này! Thu gọn Liên hệ: SĐT 1 098 510 **** Hiện số Thông tin chi tiết Mặt tiền 5m Chiều sâu 18,1m Mức độ giao dịch Càng sớm càng tốt Ưu điểm BĐS Dân trí cao",5m,"18,1m",Càng sớm càng tốt,Dân trí cao,,,
306038311,1,"Nhà vuông vắn 86m2, 4,4m mặt tiền, ô tô vào nhà, gần Lữ Gia, Quận 11",N/A,,N/A,86,N/A,"Q. 11, Tp. Hồ Chí Minh",,,25/12/2025,https://meeyland.com/ban-nha-rieng-quan-11-ho-chi-minh-i1223/306038311,"Tọa lạc tại vị trí đắc địa Quận 11, gần kề Quận 10, căn nhà với diện tích 86m2 sở hữu mặt tiền hiếm có lên đến 4.4m, vuông vắn đẹp đẽ, sẵn sàng cho chủ nhân kiến tạo không gian sống mơ ước. Ngôi nhà hiện trạng là nhà cũ, là mảnh đất vàng để bạn thỏa sức xây dựng lại theo phong cách riêng, biến hóa thành tổ ấm tiện nghi hoặc cơ sở kinh doanh sầm uất. Điểm cộng nổi bật là khả năng đón trọn hai chiếc ô tô vào tận nhà, mang đến sự thuận tiện tối đa cho sinh hoạt và kinh doanh. Địa chỉ: Phường 11, Quận 11, Thành phố Hồ Chí Minh. Liên hệ xem nhà: Quang Anh 0383863976 hoặc Zalo 0334244379. Thu gọn Liên hệ: SĐT 1 038 386 **** Hiện số Thông tin chi tiết Mặt tiền 4,4m Chiều sâu 19,55m Mức độ giao dịch Càng sớm càng tốt Ưu điểm BĐS Ô tô đỗ gần, Xây mới","4,4m","19,55m",Càng sớm càng tốt,"Ô tô đỗ gần, Xây mới",,,
306041863,1,"Tọa lạc tại vị trí đắc địa, sát công viên Đầm Sen, quận 11",11 tỷ,11.0,"130,95 triệu/m²",84,N/A,"Q. 11, Tp. Hồ Chí Minh",,,24/12/2025,https://meeyland.com/ban-nha-rieng-quan-11-ho-chi-minh-i1223/306041863,"Tọa lạc tại vị trí đắc địa, sát công viên Đầm Sen, Quận 11, ngôi nhà 4 tầng BTCT này là sự kết hợp hoàn hảo giữa không gian sống hiện đại và tiềm năng kinh doanh vượt trội. Với chiều ngang 4.2m và chiều dài 20m, ngôi nhà sở hữu diện tích lý tưởng, được thiết kế thông minh với giếng trời mang đến ánh sáng tự nhiên và sự thông thoáng tối đa, tạo cảm giác mát mẻ quanh năm. Ngôi nhà có 6 phòng ngủ, phù hợp cho đại gia đình hoặc có thể tận dụng để cho thuê. Đặc biệt, với con hẻm rộng như đường, đây là lựa chọn hoàn hảo để mở văn phòng công ty, spa chuyên nghiệp hay phòng mạch tư, đón đầu mọi cơ hội kinh doanh. Vị trí đắc địa giúp kết nối nhanh chóng đến các trục đường chính như Lạc Long Quân, Hòa Bình, Lãnh Binh Thăng, mang lại sự thuận tiện tối đa trong việc di chuyển và giao thương. Hướng nhà Đông Bắc đón gió mát lành, mang lại sinh khí tốt lành cho gia chủ. Với mức giá nhỉnh 11 tỷ, đây là cơ hội hiếm có để sở hữu một bất động sản vừa an cư, vừa kinh doanh đắc lợi tại trung tâm thành phố. Liên hệ ngay để không bỏ lỡ cơ hội tuyệt vời này! Thu gọn Liên hệ: SĐT 1 090 210 **** Hiện số Thông tin chi tiết Mặt tiền 4,2m Chiều sâu 20m Mức độ giao dịch Càng sớm càng tốt Ưu điểm BĐS Kinh doanh được, Giao thông thuận lợi, Vị trí trung tâm, Nhiều mặt thoáng","4,2m",20m,Càng sớm càng tốt,"Kinh doanh được, Giao thông thuận lợi, Vị trí trung tâm, Nhiều mặt thoáng",,,
306053290,1,"Bán nhà hẻm xe hơi đường Âu Cơ, gần Làng Nướng Nam Bộ, Đại học Văn Hiến, đang cho thuê 10 triệu/tháng",4 tỷ,4.0,"103,36 triệu/m²",38.7,N/A,"Đ. Âu Cơ, Q. 11, Tp. Hồ Chí Minh",,,24/12/2025,https://meeyland.com/ban-nha-rieng-quan-11-ho-chi-minh-i1223/306053290,"Bán căn nhà hẻm xe hơi đường Âu Cơ, Quận 11, Thành phố Hồ Chí Minh. Nhà có kích thước 4.3m x 9m, kết cấu 1 trệt, lửng, 1 lầu. Vị trí gần mặt tiền đường, Làng Nướng Nam Bộ, Đại học Văn Hiến. Hiện đang cho thuê 10 triệu/tháng. Giá hơn 4 tỷ (có thương lượng). Liên hệ 0934146257. Thu gọn Liên hệ: SĐT 1 093 414 **** Hiện số Thông tin chi tiết Mặt tiền 4,3m Chiều sâu 9m Mức độ giao dịch Gấp Ưu điểm BĐS Gần nhiều tiện ích","4,3m",9m,Gấp,Gần nhiều tiện ích,,,
