id,Page,Title,Price_Raw,Price_Billion,Price_per_m2,Area_m2,District,Address,Bedrooms,Toilets,Post_Time,Link,Description,Mặt tiền,Chiều sâu,Mức độ giao dịch,Tiện ích,Ưu điểm BĐS,Hướng ban công
305610113,1,"Bán dự án Vinhomes Paradise Cần Giờ, booking sớm để chọn căn đẹp nhất ngay hôm nay",14 tỷ,14.0,125 triệu/m²,112,Huyện  Cần Giờ,"Đ. Duyên Hải, X. Long Hòa, H. Cần Giờ, Tp. Hồ Chí Minh",3,3,04/01/2026,https://meeyland.com/ban-biet-thu-lien-ke-can-gio-ho-chi-minh-i1423/305610113,"Bán dự án Vinhomes Paradise Cần Giờ, booking sớm để chọn căn đẹp nhất ngay hôm nay Chính thức giới thiệu giỏ hàng đợt đầu tiên – cơ hội vàng cho nhà đầu tư tiên phong Số lượng sản phẩm giới hạn: Biệt thự đơn lập (Màu Hồng): 321 căn Biệt thự song lập (Màu Tím): 1.775 căn Nhà liền kề (Màu Vàng): 2.334 căn Tổng cộng: 4.430 căn – Sở hữu lâu dài tại siêu đô thị biển 2.870ha đầu tiên & duy nhất của TP.HCM. Sở hữu một căn tại Vinhomes Green Paradise Cần Giờ không chỉ là mua nhà, mà là nắm giữ tài sản di sản – biểu tượng đẳng cấp quốc tế ngay cửa ngõ thành phố. Tư vấn chi tiết thông tin về dự án 𝑽𝒊𝒏𝒉𝒐𝒎𝒆𝒔 𝑮𝒓𝒆𝒆𝒏 𝑷𝒂𝒓𝒂𝒅𝒊𝒔𝒆 𝑪𝒂̂̀𝒏 𝑮𝒊𝒐̛̀ anh chị liên hệ Thu gọn Liên hệ: SĐT 1 096 686 **** Hiện số Thông tin chi tiết Mặt tiền 5m Chiều sâu 21m Mức độ giao dịch Gấp",5m,21m,Gấp,,,
306066720,1,"Bán căn biệt thự song lập ven hồ 180m2, view triệu đô, giá dưới 20 tỷ","19,36 tỷ",19.36,"107,54 triệu/m²",180,Huyện  Cần Giờ,"X. Long Hòa, H. Cần Giờ, Tp. Hồ Chí Minh",,,23/12/2025,https://meeyland.com/ban-biet-thu-lien-ke-can-gio-ho-chi-minh-i1423/306066720,"Cơ hội có 1-0-2 sở hữu căn Biệt thự Song Lập (BTSL) ven hồ Lagoon đắt giá tại trục AS24, Paradise Cần Giờ với mức giá ""hời"" không tưởng! Căn mã AS24 - 12x, diện tích 180m2, đang có mức giá bán chỉ 19,357 tỷ. Đáng kinh ngạc, mức giá này rẻ hơn tới 7 tỷ đồng so với căn AS24-11x cùng dãy đã giao dịch thành công ở mức 26,3 tỷ (chưa kể PDV). Mua vào là lời ngay lập tức! Điểm nhấn độc đáo của căn biệt thự này nằm ở diện tích và loại hình hiếm có: 180m2, thuộc dạng BTSL ven hồ dưới 200m2, cực kỳ khan hiếm trên thị trường. Tận hưởng tầm view triệu đô trực diện hồ Lagoon rộng lớn, với bãi tắm riêng ngay sau nhà, mang đến không gian sống đẳng cấp và thư thái. Vị trí chiến lược tại trục đường 17m, chỉ vài bước chân là tới đại lộ 50m sầm uất. Xung quanh là hệ thống tiện ích đồng bộ: trường học, công viên xanh mát, hồ bơi trong lành và Landmark 108 tầng biểu tượng. Đặc biệt, căn biệt thự sở hữu mặt tiền ngã 3 thoáng đãng, cực kỳ lý tưởng cho mục đích kinh doanh hoặc cho thuê sinh lời cao. Tóm lại, căn BTSL AS24 này là lựa chọn ""hiếm có khó tìm"" với mức giá tốt, tiềm năng tăng trưởng lớn, phù hợp với ngân sách dưới 20 tỷ tại Paradise Cần Giờ. Liên hệ ngay Ms Thảo: 0394686131 để được tư vấn chi tiết và chốt căn ""hời"" này! Thu gọn Liên hệ: SĐT 1 039 468 **** Hiện số Thông tin chi tiết Tiện ích Bể bơi, Sân vườn Ưu điểm BĐS Kinh doanh được, Đắc địa - Ngã 3-4-5-6, Gần nhiều tiện ích",,,,"Bể bơi, Sân vườn","Kinh doanh được, Đắc địa - Ngã 3-4-5-6, Gần nhiều tiện ích",
305422895,1,"Nhận đặt cọc dự án Vinhomes Paradise Cần Giờ, anh chị quan tâm gọi cho em xem dự án ạ",10 tỷ,10.0,50 triệu/m²,200,Huyện  Cần Giờ,"Đ. Duyên Hải, X. Long Hòa, H. Cần Giờ, Tp. Hồ Chí Minh",3,3,21/12/2025,https://meeyland.com/ban-biet-thu-lien-ke-can-gio-ho-chi-minh-i1423/305422895,"Vingroup sắp ra mắt SIÊU ĐÔ THỊ BIỂN 9 TỶ USD tại Cần Giờ - TP.HCM - Quy mô ""khủng"" hơn đô thị biển quốc tế Dubai và Singapore Diện tích lên đến 2.870 ha - Quy mô gấp 8 lần Marina Bay (Singapore) Quy mô dân số dự kiến gần 230.000 người gấp 10 lần Palm Jumeirah (Dubai) Đón 8–9 triệu lượt khách du lịch mỗi năm tương đương những tỉnh thành du lịch nổi tiếng của Việt Nam 4 phân khu chính là HeartBay, LifeBay, EcoBay, BlueBay. 49.5ha diện tích đất ở gồm khu biệt thự cao cấp và khu biệt thự nghỉ dưỡng. 52.2ha diện tích đất du lịch bao gồm nhà hàng, khách sạn, khu resort nghỉ dưỡng. - Có các sản phẩm: Liền kề: 75 - 90 - 100 - 120m2 Biệt thự song lập: 180 - 200 - 220 - 300m2 Biệt thự đơn lập: 350 - 400 - 500 - 700m2 Số lượng căn đợt đầu tiên: +Màu hồng - Biệt thự đơn lập: 321 +Màu tím - Biệt thự song lập: 1.775 +Màu Vàng - Nhà liền kề- Shophouse: 2.334 Tổng : 4.430 - liên hệ cho em booking Thu gọn Liên hệ: SĐT 1 079 373 **** Hiện số Thông tin chi tiết Mặt tiền 10m Chiều sâu 20m Mức độ giao dịch Gấp",10m,20m,Gấp,,,
305422881,1,"Nhận booking dự án Vinhomes Paradise Cần Giờ, anh chị quan tâm gọi cho em xem dự án ạ",20 tỷ,20.0,"66,67 triệu/m²",300,Huyện  Cần Giờ,"Đ. Duyên Hải, Tt. Cần Thạnh, H. Cần Giờ, Tp. Hồ Chí Minh",3,3,18/12/2025,https://meeyland.com/ban-shophouse-nha-pho-thuong-mai-can-gio-ho-chi-minh-i1523/305422881,"Nhận booking dự án Vinhomes Paradise Cần Giờ, anh chị quan tâm gọi cho em xem dự án ạ Diện tích lên đến 2.870 ha - Quy mô gấp 8 lần Marina Bay (Singapore) Quy mô dân số dự kiến gần 230.000 người gấp 10 lần Palm Jumeirah (Dubai) Đón 8–9 triệu lượt khách du lịch mỗi năm tương đương những tỉnh thành du lịch nổi tiếng của Việt Nam 4 phân khu chính là HeartBay, LifeBay, EcoBay, BlueBay. 49.5ha diện tích đất ở gồm khu biệt thự cao cấp và khu biệt thự nghỉ dưỡng. 52.2ha diện tích đất du lịch bao gồm nhà hàng, khách sạn, khu resort nghỉ dưỡng. - Có các sản phẩm: Liền kề: 75 - 90 - 100 - 120m2 Biệt thự song lập: 180 - 200 - 220 - 300m2 Biệt thự đơn lập: 350 - 400 - 500 - 700m2 Số lượng căn đợt đầu tiên: +Màu hồng - Biệt thự đơn lập: 321 +Màu tím - Biệt thự song lập: 1.775 +Màu Vàng - Nhà liền kề- Shophouse: 2.334 Tổng : 4.430 Liên hệ cho em booking Thu gọn Liên hệ: SĐT 1 079 373 **** Hiện số Thông tin chi tiết Mức độ giao dịch Gấp",,,Gấp,,,
306042302,1,"Đất vàng Cần Giờ 520m2 full thổ cư, hẻm 7m, giá 30 triệu/m2","15,6 tỷ",15.6,"đất vàng cần giờ 520m2 full thổ cư, hẻm 7m, giá 30 triệu/m2",520,Huyện  Cần Giờ,"H. Cần Giờ, Tp. Hồ Chí Minh",,,11/12/2025,https://meeyland.com/ban-dat-can-gio-ho-chi-minh-i1123/306042302,"Siêu phẩm đất nền Cần Giờ đây rồi! Diện tích khủng 520m2, full thổ cư, sẵn sàng cho mọi ý tưởng đầu tư hay xây dựng tổ ấm. Lô đất nằm trên hẻm rộng 7m, cực kỳ thông thoáng, dễ dàng di chuyển. Giá chỉ 30 triệu/m2, một mức giá quá hời cho khu vực tiềm năng này! Vị trí đắc địa: - Phía Tây giáp trục đường Duyên Hải sầm uất. - Phía Đông giáp trục đường Lê Thương, kết nối giao thông thuận tiện. - Chỉ cách bến phà Cần Giờ - Vũng Tàu 1km, di chuyển liên tỉnh cực dễ dàng. - Cách dự án Vinhomes Cần Giờ 1km, hưởng trọn vẹn tiện ích và tiềm năng tăng giá. - Khu vực xung quanh đầy đủ tiện nghi, môi trường sống trong lành, mát mẻ, lý tưởng cho cuộc sống an cư lạc nghiệp. Cơ hội đầu tư sinh lời hoặc xây dựng cuộc sống mơ ước đang chờ bạn! Liên hệ ngay 0339396101 để không bỏ lỡ siêu phẩm này! Thu gọn Liên hệ: SĐT 1 033 939 **** Hiện số Thông tin chi tiết Mức độ giao dịch Càng sớm càng tốt Ưu điểm BĐS Giao thông thuận lợi, Gần nhiều tiện ích",,,Càng sớm càng tốt,,"Giao thông thuận lợi, Gần nhiều tiện ích",
306071081,1,"Đất mặt tiền đường nhựa 42m, gần khu công nghiệp Bầu Bàng, thành phố Hồ Chí Minh",N/A,,N/A,205,Huyện  Cần Giờ,"X. Long Hòa, H. Cần Giờ, Tp. Hồ Chí Minh",,,09/12/2025,https://meeyland.com/ban-dat-can-gio-ho-chi-minh-i1123/306071081,"Bán đất mặt tiền đường nhựa rộng 42m, ngay đường DH 717, Long Hoà, TP.HCM (mới), vị trí đắc địa gần KCN Bầu Bàng. Diện tích đất 211m2 (5m x 41m), đã có sẵn thổ cư, rất phù hợp để xây dựng nhà ở hoặc đầu tư kinh doanh. Vị trí giao thông thuận lợi, hứa hẹn tiềm năng phát triển vượt trội trong tương lai. Liên hệ ngay 0965561715 hoặc 0961848843 (Zalo) để biết thêm thông tin chi tiết và sở hữu cơ hội đầu tư hấp dẫn này. Thu gọn Liên hệ: SĐT 1 096 556 **** Hiện số Thông tin chi tiết Mặt tiền 5m Chiều sâu 41m Mức độ giao dịch Càng sớm càng tốt Ưu điểm BĐS Dân trí cao",5m,41m,Càng sớm càng tốt,,Dân trí cao,
306145808,1,Lifestyle triệu đô – chỉ có ở Vinhomes Green Paradise – Cần Giờ - chỉ dành cho người biết hưởng,"39,7 tỷ",39.7,"49,07 triệu/m²",809.1,Huyện  Cần Giờ,"Vinhomes Green Paradise, X. Long Hòa, H. Cần Giờ, Tp. Hồ Chí Minh",,,09/12/2025,https://meeyland.com/ban-du-an-bds-can-gio-ho-chi-minh-i1323/306145808,"Lifestyle triệu đô – chỉ có ở Vinhomes Green Paradise – Cần Giờ - chỉ dành cho người biết hưởng Hãy tưởng tượng mỗi ngày của bạn bắt đầu bằng làn gió biển tinh khiết, và kết thúc bằng những bước tản bộ dưới ánh đèn vàng bên hồ. Không bon chen. Không ồn ã. Chỉ có tĩnh tại – sang trọng – và chất sống riêng của giới thượng lưu. Tại Green Paradise, cư dân sở hữu hệ tiện ích 5 sao đúng nghĩa: Khu thể thao – đường dạo ven hồ Bến du thuyền tiêu chuẩn quốc tế – biểu tượng giàu sang Trường học & bệnh viện quốc tế Trung tâm thương mại, café, nhà hàng phong cách resort Công viên xanh – hồ cảnh quan rộng lớn bao quanh Một nơi mà: Buổi sáng – chạy bộ trong gió biển mát lành Buổi chiều – nhâm nhi café bên hiên nhà, nhìn sóng vỗ Buổi tối – tản bộ bên hồ, ánh đèn dịu nhẹ, không gian an yên tuyệt đối Đó không chỉ là nơi để ở – mà là nơi để sống. Sống chất. Sống đẳng cấp. Green Paradise không chỉ đẹp để sống – mà đẹp để đầu tư, khi Cần Giờ đang trở thành “thủ phủ mới” của TP.HCM với loạt siêu hạ tầng: Tàu cao tốc 350 km/h – 13 phút từ Bến Thành Cầu Cần Giờ – Vũng Tàu 2 đại cảng quốc tế Du lịch biển tăng trưởng khủng Đường Rừng Sác mở rộng Sân bay Quốc Tế Long Thành Mỗi hạng mục hoàn thành → giá trị Cần Giờ tăng một nhịp. Sở hữu biệt thự lúc này là đang nắm giữ tương lai, trước khi mặt bằng giá bước sang trang mới. BIỆT THỰ BIỂN VN69-4X – CƠ HỘI KHÓ LẶP LẠI Giá đang tốt nhất phân khúc Pháp lý cực rõ ràng – sổ đỏ lâu dài Vị trí đẹp – tiềm năng tăng giá mạnh theo hạ tầng Phù hợp an cư – nghỉ dưỡng – đầu tư giữ tài sản Đây là sản phẩm mà người mua ở thích – nhà đầu tư càng thích hơn. MỜI ANH/CHỊ ĐẾN XEM SA BÀN & TRẢI NGHIỆM THỰC TẾ TẠI DỰ ÁN Cảm nhận tận mắt – sẽ hiểu vì sao Green Paradise đang làm nóng toàn thị trường. Hoặc nhắn tin trực tiếp Za.lo em - Linh Đan Thu gọn Liên hệ: SĐT 1 090 145 **** Hiện số Thông tin chi tiết Mức độ giao dịch Gấp",,,Gấp,,,
306348376,1,"Bán biệt thự liền kề Vinhomes Green Paradise Cần Giờ, Hồ Chí Minh",N/A,,N/A,,N/A,Biệt thự liền kề,,,N/A,https://meeyland.com/ban-biet-thu-lien-ke-can-gio-ho-chi-minh-i1423/306348376,N/A,,,,,,
306348110,1,"Bán biệt thự liền kề Vinhomes Green Paradise Cần Giờ, Hồ Chí Minh",N/A,,N/A,,N/A,N/A,,,N/A,https://meeyland.com/ban-biet-thu-lien-ke-can-gio-ho-chi-minh-i1423/306348110,N/A,,,,,,
306347488,1,"Bán biệt thự liền kề Vinhomes Green Paradise Cần Giờ, Hồ Chí Minh",N/A,,N/A,,N/A,Vinhomes Green Paradise,,,N/A,https://meeyland.com/ban-biet-thu-lien-ke-can-gio-ho-chi-minh-i1423/306347488,N/A,,,,,,
